ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
30,Albania,ALB,,,Europe,Social distancing,Limit public gatherings,No,Until 3rd April,3/10/20,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,3/14/20,
31,Albania,ALB,,,Europe,Movement restrictions,Checkpoints,Yes,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,3/10/20,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,3/14/20,
32,Albania,ALB,,,Europe,Public health measures,Introduction of quarantine policies,Yes,All people entering the country for 15 days,3/10/20,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,3/14/20,
34,Albania,ALB,,,Europe,Social and economic measures,Economic measures,No,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians ,3/12/20,BalkanInSight,Media,https://balkaninsight.com/2020/03/12/albania-close-factories-impose-curfew-in-war-against-new-coronavirus/,3/14/20,https://www.bankofalbania.org/Press/Press_Releases/Decisions_by_the_Supervisory_Council_of_the_Bank_of_Albania_on_12_March_2020.html
35,Albania,ALB,,,Europe,Public health measures,Awareness campaigns,No,,3/11/20,US Embassy ,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,3/14/20,
925,Albania,ALB,,,Europe,Public health measures,Health screenings in airports and border crossings,No,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,3/19/20,US embassy of Albania ,Government,https://al.usembassy.gov/updates_covid19/,3/20/20,
926,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,No,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,3/19/20,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,3/20/20,https://al.usembassy.gov/updates_covid19/
931,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,No,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital ,3/20/20,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,3/20/20,
932,Albania,ALB,,,Europe,Movement restrictions,Border closure ,Yes,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",3/14/20,US Embassy of Albania ,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,3/20/20,
36,Algeria,DZA,,,Africa,Public health measures,Awareness campaigns,No,,3/5/20,xinhuanet,Media,http://www.xinhuanet.com/english/2020-03/05/c_138844004.htm,3/14/20,
37,Algeria,DZA,,,Africa,Social distancing,Schools closure ,No,until 5th April,3/12/20,US Embassy ,Government,https://dz.usembassy.gov/covid-19-information/,3/14/20,
39,Algeria,DZA,,,Africa,Movement restrictions,Border checks ,Yes,Entry denied to people with symptoms,3/1/20,US Embassy ,Government,https://dz.usembassy.gov/covid-19-information/,3/14/20,
40,Algeria,DZA,,,Africa,Social distancing,Limit public gatherings,No,,3/1/20,qantara 13/03/2020,Media,https://en.qantara.de/content/coronavirus-in-the-islamic-world-the-challenges-of-covid-19,3/14/20,
961,Algeria,DZA,,,Africa,Social distancing,Public services closure ,No,"Banned all types of gatherings (including all houses of worhsip) until April 5, 2020",3/20/20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,3/20/20,
962,Algeria,DZA,,,Africa,Movement restrictions,Border closure ,No,All land borders.,3/17/20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,3/20/20,
963,Algeria,DZA,,,Africa,Movement restrictions,Flights suspension,No,"Suspension of all non-cargo international air and maritime travel. Suspension of all International commercial flights (March 20, 2020) Domestic flight suspension (March 22nd, 2020).",3/20/20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,3/20/20,
964,Algeria,DZA,,,Africa,Public health measures,Awareness campaigns,No,Programs to disinfect mass transit and public areas,3/20/20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,3/20/20,
978,Algeria,DZA,,,Africa,Public health measures,Introduction of quarantine policies,Yes,Quarantining known confirmed COVID-19 cases within its borders,3/18/20,US Embassy of Algeria ,Government,https://dz.usembassy.gov/covid-19-information/,3/20/20,
41,Angola,AGO,,,Africa,Public health measures,Health screenings in airports and border crossings,Yes,"China, South Korea, Iran, and Italy",3/3/20,US Embassy ,Government,https://ao.usembassy.gov/covid-19-information/,3/14/20,
42,Angola,AGO,,,Africa,Public health measures,Introduction of quarantine policies,Yes,any nationality who presents with symptoms or who has traveled to China since the start of the outbreak,3/3/20,US Embassy ,Government,https://ao.usembassy.gov/covid-19-information/,3/14/20,
48,Angola,AGO,,,Africa,Public health measures,Awareness campaigns,No,,3/11/20,ANGOP 12/03/2020,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/11/COVID-Angola-strengthens-health-surveillance-borders,df99638c-87ca-4bee-ae7f-78d3246a901b.html",3/14/20,
1070,Angola,AGO,,,Africa,Movement restrictions,Travel restrictions,No,"All international flights to and from Angola will be suspended as of Friday, March 20",3/20/20,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3,3/21/20,
1071,Angola,AGO,,,Africa,Movement restrictions,Travel restrictions,Yes,"individuals who have transited through China, Hong Kong, Macao, South Korea, Iran, and Italy, will be prohibited from entering the country due to the ongoing coronavirus (COVID-19) outbreak.",3/4/20,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-4,3/21/20,
1072,Angola,AGO,,,Africa,Movement restrictions,Travel restrictions,Yes,"Authorities are temporarily banning citizens of China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria from entering Angola who have travelled directly from those countries; the restriction does not apply to those traveling via a third country.",3/1/20,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-5,3/21/20,
1073,Angola,AGO,,,Africa,Movement restrictions,Travel restrictions,Yes,the Angolan Ministry of Health announced that all travelers arriving from China will be placed under home quarantine,2/6/20,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-6,3/21/20,
9,Antigua and Barbuda,ATG,,,Americas,Public health measures,Awareness campaigns,No,Sanitation and hygiene recommendations,3/13/20,Prime Minister's Statement,Government,https://ab.gov.ag/media_page.php?page=227,3/14/20,
228,Antigua and Barbuda,ATG,,,Americas,Movement restrictions,Visa restrictions,Yes,"    Passengers and airline crew who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. Nationals and resident diplomats of Antigua and Barbuda who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are allowed entry. Airlines must provide their advance passenger information before departure. ",,US Embassy,Government,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,3/15/20,
848,Antigua and Barbuda,ATG,,,Americas,Social Distancing,Limit public gatherings,No,"30 day ban on all fete, parties and similar social events as a pre-emptive measure to prevent the contracting and spread of the coronavirus / covid-19.",3/16/20,Tourism Authority,Government,https://visitantiguabarbuda.com/contact-us/,3/20/20,
981,Antigua and Barbuda,ATG,,,Americas,Social Distancing,Limit public gatherings,Yes,Measures implemented at water payment centers: Senior citizens given priority in customer queues; controlled lines at payment centers enforced; use of sanitation station required on entry to office; designated waiting area to facilitate social distancing ,3/16/20,Public Works Authority,Government,https://ab.gov.ag/pdf/APUA_COVID-19.pdf,3/20/20,
982,Antigua and Barbuda,ATG,,,Americas,Social Distancing,Awareness campaigns,Yes,"Members of the Antigua and Barbuda Hotels and Tourist Association met with officials from the Ministry of Health, the Antigua Workers Unions and the Ministry of Tourism to educate about COVID 19 action plan",3/3/20,"Press Release, Antigua & Barbuda Government",Government,https://ab.gov.ag/media_page.php?page=225,3/20/20,
1000,Antigua and Barbuda,ATG,,,Americas,Social Distancing,Schools closure ,No,All educational institutions closed until 27 March 2020 with possibility of extension,3/15/20,"Ministry of education, Science, and Technology",Government,https://ab.gov.ag/pdf/MoEST_COVID-19_Closures.pdf,3/20/20,
1013,Antigua and Barbuda,ATG,,,Americas,Social and Economic Measures,Emergency administrative structures activated or established,No,Antigua Public Utilities Authority (APUA) created an internal taskforce  to recommend systematic business continuity plans that can be implemented,3/16/20,Antigua & Barbuda Government ,Government,https://ab.gov.ag/pdf/APUA_COVID-19.pdf,3/20/20,
1014,Antigua and Barbuda,ATG,,,Americas,Social and Economic Measures,Economic measures,Yes,"Calls made to COVID Hotline 463-6843 will not incur charges from inet home, mobile and",3/16/20,Antigua & Barbuda Government ,Government,https://ab.gov.ag/pdf/APUA_COVID-19.pdf,3/20/20,
24,Argentina,ARG,,,Americas,Movement restrictions,Flights suspension,No,business numbers.,3/12/20,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#,3/14/20,
25,Argentina,ARG,,,Americas,Movement restrictions,Visa restrictions,No,For long term ,3/11/20,Ministry of Foreign Affairs - Francce,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#,3/14/20,https://www.boletinoficial.gob.ar/detalleAviso/primera/226653/20200312
26,Argentina,ARG,,,Americas,Public health measures,Introduction of quarantine policies,Yes,"From Europe, UK, USA, South Korea, Japan, China and Iran, for 14 days",3/12/20,Ministry of Foreign Affairs - Francce,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#,3/14/20,
847,Argentina,ARG,,,Americas,Social distancing,Limit public gatherings,No,Restrict public gathering for sport events and closes cultural spaces,3/12/20,Ministry of Health ,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,3/20/20,
849,Argentina,ARG,,,Americas,Movement restrictions,Border closure ,Yes,"For non-residents and travellers from the Schengen Area, UK, US, Iran, China, Japan and South Corea",3/15/20,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/,3/20/20,
868,Argentina,ARG,,,Americas,Movement restrictions,Travel restrictions,No,"Restriction on intercity domestic buses, trains, and flights through Wednesday, March 25",3/19/20,Ministry of Foreign Affairs - US,Government,https://ar.usembassy.gov/covid-19/,3/20/20,
869,Argentina,ARG,Buenos Aires,,Americas,Movement restrictions,Travel restrictions,No,Forbidding standing room passengers in public transports,3/19/20,Ministry of Foreign Affairs - US,Government,https://ar.usembassy.gov/covid-19/,3/20/20,
873,Argentina,ARG,,,Americas,Social distancing,Public services closure ,No,All relevant public services transfered online.,3/16/20,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,3/20/20,
875,Argentina,ARG,,,Americas,Social and economic measures,Economic measures,No,Social protection plan to ensure alimentation and health for all,3/16/20,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,3/20/20,
876,Argentina,ARG,,,Americas,Social and economic measures,Economic measures,No,Plan of investment to protect employment and the economy,17/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,3/20/20,
877,Argentina,ARG,,,Americas,Public health measures,Strengthening the public health system,No,Construction of 8 temporary hospitals,18/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,3/20/20,
878,Argentina,ARG,,,Americas,Social and economic measures,General lockdown,No,"Until 31st of March included, travels are restricted excepted for valid reasons , enforced by the police",19/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,3/20/20,
879,Argentina,ARG,,,Americas,Public health measures,Awareness campaigns,No,Campaign for argentinians abroad,17/02/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,3/20/20,
63,Armenia,ARM,,,Middle East,Public health measures,Health screenings in airports and border crossings,No,New arrivals also fill out information forms,3/10/20,Government of the Republic of Armenia,Government,https://www.gov.am/en/news/item/9722/,3/14/20,https://armenpress.am/eng/news/1002866.html
65,Armenia,ARM,,,Middle East,Movement restrictions,Travel restrictions,Yes,Iran,2/24/20,US Embassy ,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,3/14/20,https://eurasianet.org/following-coronavirus-outbreak-in-iran-armenia-closes-border-and-azerbaijan-keeps-it-open
66,Armenia,ARM,,,Middle East,Movement restrictions,Visa restrictions,Yes,"Iran, China",3/11/20,IATA,Other organisations,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,3/14/20,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/
67,Armenia,ARM,,,Middle East,Movement restrictions,Border closure ,Yes,"Georgia, two weeks closure (likely extended) *citizens may return to respected countries and some cargo permitted to cross ",3/14/20,US Embassy ,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,3/14/20,
69,Armenia,ARM,,,Middle East,Public health measures,Awareness campaigns,No,,1/31/20,Government of the Republic of Armenia,Government,https://www.gov.am/en/news/item/9668/,3/14/20,
73,Armenia,ARM,,,Middle East,Public health measures,Introduction of quarantine policies,Yes,For those with symptoms,3/13/20,Ministry of health,Government,http://www.moh.am/#3/2677,3/14/20,
430,Armenia,ARM,,,Middle East,Social distancing,Schools closure ,Yes,,2/3/20,Civilnet,Media,https://www.civilnet.am/news/2020/03/02/Coronavirus-Armenian-Government-Introduces-School-Closures-Establishes-Quarantine-Center-in-Tsaghkadzor/377468,3/16/20,
1003,Armenia,ARM,,,Middle East,Social and economic measures,State of emergency declared,No,,3/16/20,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,3/20/20,
1004,Armenia,ARM,,,Middle East,Social distancing,Schools closure ,No,All schools and Universities ,3/16/20,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,3/20/20,
1005,Armenia,ARM,,,Middle East,Social distancing,Limit public gatherings,No,Prohibition of all events over 20 persons ,3/16/20,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,3/20/20,
1006,Armenia,ARM,,,Middle East,Movement restrictions,Travel restrictions,Yes,suspended entry into the country arriving from areas with high risk of COVID-19 infections ,3/16/20,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,3/20/20,
1007,Armenia,ARM,,,Middle East,Public health measures,Health screenings in airports and border crossings,No,symptoms checks and health questionnaires for all travelers permitted to enter the country.,3/16/20,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,3/20/20,
1012,Armenia,ARM,,,Middle East,Movement restrictions,Border closure ,Yes,Iran *exceptions: citizens of these respective nations are permitted to return and some cargo deliveries may cross the borders ,3/16/20,US Embassy of Armenia ,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,3/20/20,
93,Australia,AUS,,,Pacific,Movement restrictions,Travel restrictions,Yes,"Citizens from China, Italy, South Korea, Iran, Cruise Ship are not allowed to enter country for 14 days from when they left said country. ",3/1/20,IATA,Other organisations,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,3/14/20,
94,Australia,AUS,,,Pacific,Public health measures,Introduction of quarantine policies,Yes,"14 days self-quarantine, for nationals arriving from China, Italy, Iran or South Korea",3/1/20,IATA,Other organisations,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,3/14/20,
95,Australia,AUS,,,Pacific,Social distancing,Limit public gatherings,No,Mass gatherings of more than 500 banned,3/13/20,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,3/14/20,
96,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,No,Implementation of an economic response to the coronavirus totalling $17.6 billion across the forward estimates. ,3/1/20,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,3/14/20,
97,Australia,AUS,,,Pacific,Public health measures,Strengthening the public health system,No,Additional masks and funding,3/12/20,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,3/14/20,
98,Australia,AUS,,,Pacific,Social and economic measures,Emergency administrative structures activated or established,No,Australian Health Sector Emergency Plan Activated,2/17/20,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,3/14/20,
1074,Australia,AUS,,,Pacific,Public health measures,Awareness campaigns,Yes,Subscription service available for COVID-19 newsletter for GPs,3/17/20,Ministry of Health,Government,https://www.health.gov.au/news/subscription-service-for-covid-19-newsletter-for-gps-now-available,3/21/20,
1075,Australia,AUS,,,Pacific,Public health measures,Awareness campaigns,No,A national campaign has launched to inform all Australians about the coronavirus (COVID-19).,3/20/20,Ministry of Health,Government,https://www.health.gov.au/news/subscription-service-for-covid-19-newsletter-for-gps-now-available,3/21/20,
1076,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,"Additional funding of $444.6 million to strengthen the aged care industry, with specific mechanisms to reinforce the aged care workforce.",3/20/20,Ministry of Health,Government,https://www.health.gov.au/ministers/senator-the-hon-richard-colbeck/media/measures-to-support-senior-australians-and-those-who-care-for-them,3/21/20,
1077,Australia,AUS,,,Pacific,Public health measures,Introduction of quarantine policies,Yes,"From 1 May 2020, you must have had your influenza vaccination to visit an aged care facility.",3/18/20,Ministry of Health,Government,https://www.health.gov.au/news/advice-for-aged-care-facilities-and-visitors-to-residents,3/21/20,
1078,Australia,AUS,,,Pacific,Movement restrictions,Border closure ,No,"From 9pm AEDT 20 March 2020, our borders are closed except for Australian citizens, residents and immediate family members. Arrivals must self isolate for 14 days",3/20/20,Aust Govt,Government,https://www.australia.gov.au,3/21/20,
1079,Australia,AUS,,,Pacific,Public health measures,Introduction of quarantine policies,Yes,"All travellers to Australia are required to self-isolate for 14 days, either at home or in a hotel.",3/20/20,Aust Govt,Government,https://www.australia.gov.au,3/21/20,
1080,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,Australian banks to defer loan repayments for small businesses affected by COVID-19 by 6 months. ,3/20/20,Aust Govt,Government,https://www.pm.gov.au/media/update-coronavirus-measures-0,3/21/20,
1081,Australia,AUS,,,Pacific,Social distancing,Limit public gatherings,No,"Non-essential indoor gatherings of fewer than 100 people permitted if in a given occupied space, there must be a density of no more than one person per four square metres of floor space. The 4 square metre arrangements for venues will come into effect from 20 March 2020 and will be mandated through state and territory regulatory arrangements.",3/20/20,Aust Govt,Government,https://www.pm.gov.au/media/update-coronavirus-measures-1,3/21/20,
1082,Australia,AUS,,,Pacific,Social and economic measures,Emergency administrative structures activated or established,Yes,"Under the Commonwealth Biosecurity Act 2015 states and territories will nominate remote Indigenous areas in consultation with Indigenous communities, and an emergency requirement determined under the Biosecurity Act 2015 will restrict persons from entering or leaving those nominated areas.",3/20/20,Aust Govt,Government,https://www.pm.gov.au/media/update-coronavirus-measures-2,3/21/20,
1083,Australia,AUS,,,Pacific,Social distancing,Changes in prison-related policies,Yes,"State and Territory leaders agreed that from 20 March 2020 each State’s and Territory’s adult correctional system will restructure personal prison visits to help manage the risk posed to prisoners and staff by the introduction of COVID-19 into custodial facilities. Depending on their operational needs, this may include stopping visits in some jurisdictions",3/20/20,Aust Govt,Government,https://www.pm.gov.au/media/update-coronavirus-measures-2,3/21/20,
1100,Australia,AUS,,,Pacific,Social distancing,Limit public gatherings,No,"Australian authorities closed Bondi beach and removed hundreds of people from other popular Sydney beaches on Saturday, citing the “irresponsible behaviour” of large crowds that had gathered in clear defiance of public health warnings of gatherings over 500 people.",3/20/20,The Guardian,Media,https://www.theguardian.com/australia-news/2020/mar/21/bondi-beach-closed-down-after-crowds-defy-ban-on-gatherings-of-more-than-500-people?utm_term=RWRpdG9yaWFsX0d1YXJkaWFuVG9kYXlVS19XZWVrZW5kLTIwMDMyMQ%3D%3D&utm_source=esp&utm_medium=Email&CMP=GTUK_email&utm_campaign=GuardianTodayUK,3/21/20,
1421,Australia,AUS,,,Pacific,Social distancing,Public services closure ,Yes,"Pubs, licensed clubs and hotels (excluding accommodation), places of worship, gyms, indoor sporting venues, cinemas, casinos to close from midday Monday, March 22 for at least 6 months",22/03/2020,Aust Govt,Government,https://www.australia.gov.au,3/22/20,
1422,Australia,AUS,,,Pacific,Social distancing,Limit public gatherings,No,No non-essential gatherings of more than 500 people outside or more than 100 people inside. All non-essential indoor gatherings of less than 100 people must have no more than one person per 4sqm. All Australians should expect their local businesses to be following this rule.,22/03/2020,Aust Govt,Government,https://www.australia.gov.au,3/22/20,
1423,Australia,AUS,"NSW, Vic, ACT",,Pacific,Social distancing,Public services closure ,Yes,"All non-essential services in New South Wales, Victoria, and the Australian Capital Territory will be shut down over the next two days excluding supermarkets, petrol stations, pharmacies, convenience stores, freight and logistics, and home delivery. ",22/03/2020,SBS News,Media,https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward,3/22/20,
1424,Australia,AUS,"Vic, ACT",,Pacific,Social distancing,Schools closure ,Yes,"In Victoria, school holidays will also be brought forward to enable schools to close from Tuesday. Schools in Canberra will be open on Monday but move to online learning from Tuesday.",22/03/2020,SBS News,Media,https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward,3/22/20,
1425,Australia,AUS,,,Pacific,Public health measures,General recommendations,No,PM urged Australians to cancel all non-essential domestic travel.,22/03/2020,SBS News,Media,https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward,3/22/20,
1426,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,"Government’s new $66 billion coronavirus stimulus to provide relief for small business, casuals and welfare recipients",22/03/2020,SBS News,Media,https://www.sbs.com.au/news/government-s-66-billion-coronavirus-stimulus-to-provide-relief-for-small-business-casuals-and-welfare-recipients,3/22/20,
1427,Australia,AUS,"SA, WA, Tas, NT",,Pacific,Movement restrictions,Border closure ,Yes,"South Australia and Western Australia will effectively close their borders on March 24 at 4pm anyone entering the state would be subject to a mandatory 14-day isolation period. Essential services, including the supply of food would not be affected. Tasmania and the Northern Territory already have such restrictions in place.",22/03/2020,SBS News,Media,https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward,3/22/20,
1428,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,"The Government is allowing individuals “in financial stress” by the Coronavirus to access up to $10,000 of their superannuation in 2019-20 and a further $10,000 in 2020-21.",22/03/2020,Aust Treasury,Government,https://treasury.gov.au/coronavirus/households,3/22/20,
1429,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,"The Government is guaranteeing unsecured small business loans up to $AU250,000 for lenders providing credit to existing small business customers. This reform will help small businesses get access to credit quickly and efficiently.",22/03/2020,Aust Treasury,Government,https://treasury.gov.au/coronavirus/business-investment,3/22/20,
405,Austria,AUT,,,Europe,Social and economic measures,General lockdown,No,"Citizens are suspend all non-essential activities outside their homes and stay in their homes for the duration for one week; ecemptions are essential work, for essential shopping or services, helping someone else, physical activity if alone or with co-living persons",3/16/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,3/15/20,
407,Austria,AUT,,,Europe,Social distancing,Limit public gatherings,No,ban of public gatherings over 5 people; closure of restaurants,3/16/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,3/15/20,
408,Austria,AUT,,,Europe,Movement restrictions,Travel restrictions,Yes,"entry ban for travelers from Great Britain, Netherlands, Ukraine, Russia unless they have a medical certificate confirming no coronavirus infection and will self-quarantine for 14 days",3/16/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,3/15/20,
409,Austria,AUT,,,Europe,Social distancing,Schools closure ,No,schools and education institutions closed starting for secondary schools on 16 March and on 18 March for primary schools,3/16/20,Government,Government,https://www.oesterreich.gv.at/themen/coronavirus_in_oesterreich/aktuelle_entwicklungen_in_der_schule.html,3/15/20,
