Entity,Code,Year,"Physicians (per 1,000 people) (per 1,000 people)"
Andorra,AND,1995,2.231
Andorra,AND,1997,2.435
Andorra,AND,1998,2.47
Andorra,AND,1999,2.594
Andorra,AND,2000,2.549
Andorra,AND,2001,2.594
Andorra,AND,2003,3.263
Andorra,AND,2006,3.64
Andorra,AND,2007,3.716
Andorra,AND,2009,3.112
Andorra,AND,2010,4
Andorra,AND,2015,3.69
Angola,AGO,1960,0.067
Angola,AGO,1965,0.076
Angola,AGO,1970,0.116
Angola,AGO,1984,0.059
Angola,AGO,1990,0.042
Angola,AGO,1997,0.064
Angola,AGO,2004,0.067
Angola,AGO,2009,0.144
Antigua and Barbuda,ATG,1960,0.294
Antigua and Barbuda,ATG,1970,0.349
Antigua and Barbuda,ATG,1990,0.76
Antigua and Barbuda,ATG,1991,0.919
Antigua and Barbuda,ATG,1993,3.03
Antigua and Barbuda,ATG,1995,0.76
Antigua and Barbuda,ATG,1996,1.141
Antigua and Barbuda,ATG,1999,0.158
Arab World,,1990,0.717821384498425
Arab World,,2000,1.12355565777511
Arab World,,2013,1.06309534033024
Argentina,ARG,1960,1.351
Argentina,ARG,1965,1.667
Argentina,ARG,1970,1.892
Argentina,ARG,1975,1.869
Argentina,ARG,1984,2.683
Argentina,ARG,1985,2.705
Argentina,ARG,1986,2.984
Argentina,ARG,1988,3.032
Argentina,ARG,1990,2.68
Argentina,ARG,1992,2.639
Argentina,ARG,1995,2.68
Argentina,ARG,1998,3.002
Argentina,ARG,2001,3.231
Argentina,ARG,2004,3.166
Argentina,ARG,2005,3.21
Argentina,ARG,2010,3.21
Argentina,ARG,2013,3.907
Armenia,ARM,1980,3.211
Armenia,ARM,1981,3.278
Armenia,ARM,1982,3.406
Armenia,ARM,1983,3.454
Armenia,ARM,1984,3.501
Armenia,ARM,1985,3.577
Armenia,ARM,1986,3.674
Armenia,ARM,1987,3.736
Armenia,ARM,1988,3.763
Armenia,ARM,1989,3.881
Armenia,ARM,1990,3.924
Armenia,ARM,1991,3.701
Armenia,ARM,1992,3.597
Armenia,ARM,1993,3.345
Armenia,ARM,1994,3.122
Armenia,ARM,1995,3.042
Armenia,ARM,1996,3.591
Armenia,ARM,1997,3.156
Armenia,ARM,1998,3.156
Armenia,ARM,1999,3.051
Armenia,ARM,2000,2.987
Armenia,ARM,2001,3.526
Armenia,ARM,2003,3.588
Armenia,ARM,2006,3.7
Armenia,ARM,2007,3.697
Armenia,ARM,2009,2.677
Armenia,ARM,2010,2.759
Armenia,ARM,2011,2.779
Armenia,ARM,2012,2.805
Armenia,ARM,2013,2.811
Armenia,ARM,2014,2.803
Aruba,ABW,1995,1.12
Australia,AUS,1961,1.1
Australia,AUS,1966,1.2
Australia,AUS,1971,1.2
Australia,AUS,1976,1.5
Australia,AUS,1981,1.8
Australia,AUS,1984,1.8
Australia,AUS,1985,1.9
Australia,AUS,1986,2
Australia,AUS,1987,2.1
Australia,AUS,1988,2.1
Australia,AUS,1989,2.1
Australia,AUS,1990,2.2
Australia,AUS,1991,2.3
Australia,AUS,1992,2.4
Australia,AUS,1993,2.4
Australia,AUS,1994,2.4
Australia,AUS,1995,2.4
Australia,AUS,1996,2.513
Australia,AUS,1997,2.4
Australia,AUS,1998,2.4
Australia,AUS,1999,2.4
Australia,AUS,2000,2.5
Australia,AUS,2001,2.479
Australia,AUS,2002,2.5
Australia,AUS,2006,2.672
Australia,AUS,2009,2.885
Australia,AUS,2011,3.287
Australia,AUS,2012,3.285
Australia,AUS,2013,3.371
Australia,AUS,2014,3.44
Australia,AUS,2015,3.496
Austria,AUT,1960,1.2
Austria,AUT,1961,1.4
Austria,AUT,1962,1.4
Austria,AUT,1963,1.4
Austria,AUT,1964,1.4
Austria,AUT,1965,1.4
Austria,AUT,1966,1.4
Austria,AUT,1967,1.4
Austria,AUT,1968,1.4
Austria,AUT,1969,1.4
Austria,AUT,1970,1.4
Austria,AUT,1971,1.4
Austria,AUT,1972,1.4
Austria,AUT,1973,1.4
Austria,AUT,1974,1.4
Austria,AUT,1975,1.5
Austria,AUT,1976,1.5
Austria,AUT,1977,1.5
Austria,AUT,1978,1.5
Austria,AUT,1979,1.6
Austria,AUT,1980,1.6
Austria,AUT,1981,1.7
Austria,AUT,1982,1.7
Austria,AUT,1983,1.8
Austria,AUT,1984,1.8
Austria,AUT,1985,1.9
Austria,AUT,1986,1.9
Austria,AUT,1987,2
Austria,AUT,1988,2.1
Austria,AUT,1989,2.2
Austria,AUT,1990,2.2
Austria,AUT,1991,2.3
Austria,AUT,1992,2.4
Austria,AUT,1993,2.5
Austria,AUT,1994,2.6
Austria,AUT,1995,2.7
Austria,AUT,1996,2.8
Austria,AUT,1997,2.9
Austria,AUT,1998,3.1
Austria,AUT,1999,3.1
Austria,AUT,2000,3.2
Austria,AUT,2001,3.3
Austria,AUT,2002,3.3
Austria,AUT,2003,3.378
Austria,AUT,2006,3.66
Austria,AUT,2007,3.794
Austria,AUT,2010,4.779
Austria,AUT,2011,4.824
Austria,AUT,2012,4.881
Austria,AUT,2013,4.984
Austria,AUT,2014,5.064
Austria,AUT,2015,5.15
Austria,AUT,2016,5.23
Azerbaijan,AZE,1980,3.362
Azerbaijan,AZE,1985,3.799
Azerbaijan,AZE,1986,3.877
Azerbaijan,AZE,1987,3.906
Azerbaijan,AZE,1988,3.964
Azerbaijan,AZE,1989,3.99
Azerbaijan,AZE,1990,3.917
Azerbaijan,AZE,1991,3.916
Azerbaijan,AZE,1992,3.881
Azerbaijan,AZE,1993,3.928
Azerbaijan,AZE,1994,3.896
Azerbaijan,AZE,1995,3.925
Azerbaijan,AZE,1996,3.899
Azerbaijan,AZE,1997,3.831
Azerbaijan,AZE,1998,3.602
Azerbaijan,AZE,1999,3.521
Azerbaijan,AZE,2000,3.607
Azerbaijan,AZE,2001,3.536
Azerbaijan,AZE,2003,3.547
Azerbaijan,AZE,2006,3.63
Azerbaijan,AZE,2007,3.794
Azerbaijan,AZE,2009,3.782
Azerbaijan,AZE,2010,3.636
Azerbaijan,AZE,2011,3.407
Azerbaijan,AZE,2012,3.454
Azerbaijan,AZE,2013,3.415
Azerbaijan,AZE,2014,3.402
Bahamas,BHS,1960,0.496
Bahamas,BHS,1970,0.76
Bahamas,BHS,1980,0.938
Bahamas,BHS,1984,0.943
Bahamas,BHS,1990,1.29
Bahamas,BHS,1993,1.446
Bahamas,BHS,1995,1.49
Bahamas,BHS,1996,1.518
Bahamas,BHS,1998,1.076
Bahamas,BHS,2008,2.717
Bahamas,BHS,2011,2.263
Bahrain,BHR,1960,0.45
Bahrain,BHR,1970,0.429
Bahrain,BHR,1980,1.087
Bahrain,BHR,1985,1.219
Bahrain,BHR,1991,1.315
Bahrain,BHR,1993,0.11
Bahrain,BHR,1997,1
Bahrain,BHR,2000,1.017
Bahrain,BHR,2001,1.068
Bahrain,BHR,2002,1.092
Bahrain,BHR,2003,1.071
Bahrain,BHR,2004,0.994
Bahrain,BHR,2005,1.07
Bahrain,BHR,2006,1.033
Bahrain,BHR,2007,1.025
Bahrain,BHR,2008,0.989
Bahrain,BHR,2009,0.96
Bahrain,BHR,2010,0.934
Bahrain,BHR,2011,0.925
Bahrain,BHR,2012,0.933
Bahrain,BHR,2013,0.929
Bahrain,BHR,2014,0.939
Bahrain,BHR,2015,0.922
Bangladesh,BGD,1965,0.123
Bangladesh,BGD,1970,0.119
Bangladesh,BGD,1980,0.12
Bangladesh,BGD,1985,0.154
Bangladesh,BGD,1986,0.144
Bangladesh,BGD,1990,0.177
Bangladesh,BGD,1991,0.188
Bangladesh,BGD,1995,0.201
Bangladesh,BGD,1997,0.2
Bangladesh,BGD,2001,0.243
Bangladesh,BGD,2003,0.264
Bangladesh,BGD,2004,0.273
Bangladesh,BGD,2005,0.3
Bangladesh,BGD,2006,0.308
Bangladesh,BGD,2007,0.32
Bangladesh,BGD,2008,0.333
Bangladesh,BGD,2009,0.345
Bangladesh,BGD,2010,0.354
Bangladesh,BGD,2011,0.374
Bangladesh,BGD,2012,0.389
Bangladesh,BGD,2014,0.475
Bangladesh,BGD,2015,0.472
Barbados,BRB,1960,0.329
Barbados,BRB,1970,0.523
Barbados,BRB,1984,0.891
Barbados,BRB,1990,1.14
Barbados,BRB,1993,1.254
Barbados,BRB,1995,1.351
Barbados,BRB,1999,1.21
Barbados,BRB,2000,1.353
Barbados,BRB,2001,1.552
Barbados,BRB,2005,1.785
Barbados,BRB,2010,1.811
Belarus,BLR,1980,2.962
Belarus,BLR,1985,3.329
Belarus,BLR,1986,3.375
Belarus,BLR,1987,3.445
Belarus,BLR,1988,3.512
Belarus,BLR,1989,3.576
Belarus,BLR,1990,3.56
Belarus,BLR,1991,3.576
Belarus,BLR,1992,3.638
Belarus,BLR,1993,4.076
Belarus,BLR,1994,4.142
Belarus,BLR,1995,4.155
Belarus,BLR,1996,4.286
Belarus,BLR,1997,4.365
Belarus,BLR,1998,4.431
Belarus,BLR,1999,4.551
Belarus,BLR,2000,4.579
Belarus,BLR,2001,4.497
Belarus,BLR,2002,4.526
Belarus,BLR,2003,4.55
Belarus,BLR,2004,4.622
Belarus,BLR,2005,4.68
Belarus,BLR,2006,4.78
Belarus,BLR,2007,4.869
Belarus,BLR,2008,4.98
Belarus,BLR,2009,3.702
Belarus,BLR,2010,3.511
Belarus,BLR,2011,3.788
Belarus,BLR,2012,3.873
Belarus,BLR,2013,3.925
Belarus,BLR,2014,4.07
Belgium,BEL,1960,1.3
Belgium,BEL,1961,1.3
Belgium,BEL,1962,1.4
Belgium,BEL,1963,1.4
Belgium,BEL,1964,1.4
Belgium,BEL,1965,1.5
Belgium,BEL,1966,1.5
Belgium,BEL,1967,1.5
Belgium,BEL,1968,1.6
Belgium,BEL,1969,1.6
Belgium,BEL,1971,1.5
Belgium,BEL,1972,1.6
Belgium,BEL,1973,1.7
Belgium,BEL,1974,1.8
Belgium,BEL,1975,1.9
Belgium,BEL,1976,1.9
Belgium,BEL,1977,2
Belgium,BEL,1978,2.1
Belgium,BEL,1979,2.2
Belgium,BEL,1980,2.3
Belgium,BEL,1981,2.4
Belgium,BEL,1982,2.5
Belgium,BEL,1983,2.8
Belgium,BEL,1984,2.7
Belgium,BEL,1985,2.8
Belgium,BEL,1986,2.9
Belgium,BEL,1987,3
Belgium,BEL,1988,3.1
Belgium,BEL,1989,3.2
Belgium,BEL,1990,3.3
Belgium,BEL,1991,3.3
Belgium,BEL,1992,3.4
Belgium,BEL,1993,3.4
Belgium,BEL,1994,3.5
Belgium,BEL,1995,3.5
Belgium,BEL,1996,3.6
Belgium,BEL,1997,3.7
Belgium,BEL,1998,3.7
Belgium,BEL,1999,3.8
Belgium,BEL,2000,3.9
Belgium,BEL,2001,3.9
Belgium,BEL,2002,3.9
Belgium,BEL,2005,2.045
Belgium,BEL,2006,2.093
Belgium,BEL,2010,2.911
Belgium,BEL,2011,2.924
Belgium,BEL,2012,2.941
Belgium,BEL,2013,2.959
Belgium,BEL,2014,2.971
Belgium,BEL,2015,3.011
Belize,BLZ,1960,0.242
Belize,BLZ,1970,0.342
Belize,BLZ,1984,0.272
Belize,BLZ,1986,0.451
Belize,BLZ,1988,0.472
Belize,BLZ,1990,0.639
Belize,BLZ,1993,0.493
Belize,BLZ,1995,0.6
Belize,BLZ,1996,0.548
Belize,BLZ,2000,1.015
Belize,BLZ,2009,0.768
Belize,BLZ,2010,0.828
Benin,BEN,1960,0.04
Benin,BEN,1965,0.03
Benin,BEN,1970,0.034
Benin,BEN,1980,0.059
Benin,BEN,1981,0.059
Benin,BEN,1983,0.075
Benin,BEN,1985,0.073
Benin,BEN,1989,0.071
Benin,BEN,1990,0.051
Benin,BEN,1991,0.042
Benin,BEN,1992,0.055
Benin,BEN,1993,0.057
Benin,BEN,1994,0.061
Benin,BEN,1995,0.058
Benin,BEN,2004,0.039
Benin,BEN,2008,0.06
Benin,BEN,2010,0.059
Benin,BEN,2012,0.159
Benin,BEN,2013,0.146
Benin,BEN,2016,0.153
Bermuda,BMU,1995,1.2
Bermuda,BMU,1997,1.766
Bhutan,BTN,1981,0.125
Bhutan,BTN,1982,0.102
Bhutan,BTN,1990,0.333
Bhutan,BTN,1994,0.17
Bhutan,BTN,1995,0.16
Bhutan,BTN,1999,0.051
Bhutan,BTN,2004,0.186
Bhutan,BTN,2007,0.211
Bhutan,BTN,2008,0.246
Bhutan,BTN,2010,0.023
Bhutan,BTN,2012,0.261
Bhutan,BTN,2013,0.269
Bhutan,BTN,2014,0.319
Bhutan,BTN,2015,0.324
Bhutan,BTN,2016,0.381
Bolivia,BOL,1960,0.267
Bolivia,BOL,1965,0.311
Bolivia,BOL,1970,0.509
Bolivia,BOL,1975,0.49
Bolivia,BOL,1981,0.523
Bolivia,BOL,1984,0.697
Bolivia,BOL,1990,0.45
Bolivia,BOL,1993,0.426
Bolivia,BOL,1995,0.34
Bolivia,BOL,1997,1.299
Bolivia,BOL,2001,1.216
Bolivia,BOL,2007,0.336
Bolivia,BOL,2010,0.444
Bolivia,BOL,2011,0.473
Bosnia and Herzegovina,BIH,1980,1.033
Bosnia and Herzegovina,BIH,1981,1.089
Bosnia and Herzegovina,BIH,1982,1.17
Bosnia and Herzegovina,BIH,1983,1.207
Bosnia and Herzegovina,BIH,1984,1.28
Bosnia and Herzegovina,BIH,1985,1.362
Bosnia and Herzegovina,BIH,1986,1.419
Bosnia and Herzegovina,BIH,1987,1.485
Bosnia and Herzegovina,BIH,1988,1.52
Bosnia and Herzegovina,BIH,1989,1.557
Bosnia and Herzegovina,BIH,1990,1.57
Bosnia and Herzegovina,BIH,1991,1.555
Bosnia and Herzegovina,BIH,1998,1.427
Bosnia and Herzegovina,BIH,1999,1.401
Bosnia and Herzegovina,BIH,2000,1.422
Bosnia and Herzegovina,BIH,2001,1.338
Bosnia and Herzegovina,BIH,2003,1.34
Bosnia and Herzegovina,BIH,2005,1.418
Bosnia and Herzegovina,BIH,2009,1.65
Bosnia and Herzegovina,BIH,2010,1.738
Bosnia and Herzegovina,BIH,2011,1.796
Bosnia and Herzegovina,BIH,2012,1.835
Bosnia and Herzegovina,BIH,2013,1.886
Botswana,BWA,1960,0.042
Botswana,BWA,1965,0.036
Botswana,BWA,1970,0.064
Botswana,BWA,1975,0.133
Botswana,BWA,1980,0.123
Botswana,BWA,1981,0.134
Botswana,BWA,1983,0.144
Botswana,BWA,1988,0.2
Botswana,BWA,1989,0.194
Botswana,BWA,1993,0.194
Botswana,BWA,1994,0.238
Botswana,BWA,1998,0.253
Botswana,BWA,1999,0.297
Botswana,BWA,2000,0.287
Botswana,BWA,2001,0.289
Botswana,BWA,2002,0.3
Botswana,BWA,2003,0.291
Botswana,BWA,2004,0.389
Botswana,BWA,2005,0.25
Botswana,BWA,2006,0.312
Botswana,BWA,2008,0.338
Botswana,BWA,2009,0.345
Botswana,BWA,2010,0.336
Botswana,BWA,2012,0.384
Brazil,BRA,1960,0.374
Brazil,BRA,1965,0.4
Brazil,BRA,1970,0.492
Brazil,BRA,1975,0.624
Brazil,BRA,1981,0.767
Brazil,BRA,1984,0.927
Brazil,BRA,1985,1.467
Brazil,BRA,1988,1.185
Brazil,BRA,1990,1.076
Brazil,BRA,1991,0.998
Brazil,BRA,1992,1.132
Brazil,BRA,1993,1.16
Brazil,BRA,1994,1.189
Brazil,BRA,1995,1.219
Brazil,BRA,1996,1.25
Brazil,BRA,1997,1.286
Brazil,BRA,1998,1.27
Brazil,BRA,1999,1.367
Brazil,BRA,2000,1.127
Brazil,BRA,2001,1.38
Brazil,BRA,2002,1.406
Brazil,BRA,2003,1.46
Brazil,BRA,2004,1.569
Brazil,BRA,2005,1.645
Brazil,BRA,2006,1.678
Brazil,BRA,2007,1.707
Brazil,BRA,2008,1.755
Brazil,BRA,2009,1.791
Brazil,BRA,2010,1.787
Brazil,BRA,2011,1.821
Brazil,BRA,2013,1.852
Brunei,BRN,1960,0.146
Brunei,BRN,1970,0.3
Brunei,BRN,1980,0.435
Brunei,BRN,1981,0.487
Brunei,BRN,1984,0.534
Brunei,BRN,1991,0.746
Brunei,BRN,1996,0.848
Brunei,BRN,2000,1.016
Brunei,BRN,2002,1.165
Brunei,BRN,2004,1.302
Brunei,BRN,2005,1.078
Brunei,BRN,2006,1.084
Brunei,BRN,2007,1.05
Brunei,BRN,2008,1.481
Brunei,BRN,2009,1.15
Brunei,BRN,2010,1.431
Brunei,BRN,2011,1.522
Brunei,BRN,2012,1.47
Brunei,BRN,2015,1.746
Bulgaria,BGR,1960,1.405
Bulgaria,BGR,1965,1.667
Bulgaria,BGR,1970,1.863
Bulgaria,BGR,1971,1.896
Bulgaria,BGR,1972,1.985
Bulgaria,BGR,1973,2.042
Bulgaria,BGR,1974,2.102
Bulgaria,BGR,1975,2.152
Bulgaria,BGR,1976,2.205
Bulgaria,BGR,1977,2.258
Bulgaria,BGR,1978,2.321
Bulgaria,BGR,1979,2.408
Bulgaria,BGR,1980,2.46
Bulgaria,BGR,1981,2.484
Bulgaria,BGR,1982,2.588
Bulgaria,BGR,1983,2.688
Bulgaria,BGR,1984,2.759
Bulgaria,BGR,1985,2.865
Bulgaria,BGR,1986,2.953
Bulgaria,BGR,1987,3.022
Bulgaria,BGR,1988,3.09
Bulgaria,BGR,1989,3.139
Bulgaria,BGR,1990,3.17
Bulgaria,BGR,1991,2.979
Bulgaria,BGR,1992,3.166
Bulgaria,BGR,1993,3.359
Bulgaria,BGR,1994,3.327
Bulgaria,BGR,1995,3.458
Bulgaria,BGR,1996,3.539
Bulgaria,BGR,1997,3.447
Bulgaria,BGR,1998,3.449
Bulgaria,BGR,2000,3.399
Bulgaria,BGR,2003,3.562
Bulgaria,BGR,2006,3.66
Bulgaria,BGR,2007,3.665
Bulgaria,BGR,2008,3.635
Bulgaria,BGR,2010,3.775
Bulgaria,BGR,2011,3.859
Bulgaria,BGR,2012,3.916
Bulgaria,BGR,2013,3.984
Bulgaria,BGR,2014,3.999
Burkina Faso,BFA,1960,0.011
Burkina Faso,BFA,1965,0.014
Burkina Faso,BFA,1970,0.01
Burkina Faso,BFA,1980,0.018
Burkina Faso,BFA,1981,0.018
Burkina Faso,BFA,1983,0.018
Burkina Faso,BFA,1986,0.004
Burkina Faso,BFA,1989,0.029
Burkina Faso,BFA,1995,0.034
Burkina Faso,BFA,1996,0.035
Burkina Faso,BFA,1997,0.038
Burkina Faso,BFA,2001,0.04
Burkina Faso,BFA,2004,0.054
Burkina Faso,BFA,2006,0.028
Burkina Faso,BFA,2008,0.032
Burkina Faso,BFA,2009,0.045
Burkina Faso,BFA,2010,0.046
Burkina Faso,BFA,2011,0.038
Burkina Faso,BFA,2012,0.047
Burundi,BDI,1960,0.01
Burundi,BDI,1965,0.017
Burundi,BDI,1970,0.017
Burundi,BDI,1975,0.012
Burundi,BDI,1984,0.047
Burundi,BDI,1986,0.058
Burundi,BDI,1990,0.058
Burundi,BDI,1991,0.059
Burundi,BDI,1993,0.056
Burundi,BDI,1995,0.055
Burundi,BDI,2000,0.052
Burundi,BDI,2004,0.026
Cambodia,KHM,1960,0.028
Cambodia,KHM,1965,0.045
Cambodia,KHM,1970,0.062
Cambodia,KHM,1983,0.058
Cambodia,KHM,1992,0.107
Cambodia,KHM,1993,0.104
Cambodia,KHM,1994,0.105
Cambodia,KHM,1996,0.113
Cambodia,KHM,1998,0.147
Cambodia,KHM,1999,0.296
Cambodia,KHM,2000,0.168
Cambodia,KHM,2008,0.244
Cambodia,KHM,2009,0.237
Cambodia,KHM,2010,0.229
Cambodia,KHM,2011,0.226
Cambodia,KHM,2012,0.165
Cambodia,KHM,2013,0.168
Cambodia,KHM,2014,0.143
Cameroon,CMR,1960,0.034
Cameroon,CMR,1965,0.037
Cameroon,CMR,1970,0.034
Cameroon,CMR,1975,0.072
Cameroon,CMR,1979,0.071
Cameroon,CMR,1989,0.084
Cameroon,CMR,1990,0.082
Cameroon,CMR,1992,0.084
Cameroon,CMR,1993,0.073
Cameroon,CMR,1996,0.074
Cameroon,CMR,2004,0.177
Cameroon,CMR,2005,0.058
Cameroon,CMR,2007,0.069
Cameroon,CMR,2009,0.067
Cameroon,CMR,2010,0.083
Canada,CAN,1961,1.1
Canada,CAN,1962,1.2
Canada,CAN,1963,1.3
Canada,CAN,1964,1.3
Canada,CAN,1965,1.3
Canada,CAN,1966,1.3
Canada,CAN,1967,1.3
Canada,CAN,1968,1.3
Canada,CAN,1969,1.4
Canada,CAN,1970,1.4
Canada,CAN,1971,1.5
Canada,CAN,1972,1.6
Canada,CAN,1973,1.6
Canada,CAN,1974,1.6
Canada,CAN,1975,1.7
Canada,CAN,1976,1.7
Canada,CAN,1977,1.7
Canada,CAN,1978,1.8
Canada,CAN,1979,1.8
Canada,CAN,1980,1.8
Canada,CAN,1981,1.8
Canada,CAN,1982,1.9
Canada,CAN,1983,1.9
Canada,CAN,1984,1.9
Canada,CAN,1985,2
Canada,CAN,1986,2
Canada,CAN,1987,2.1
Canada,CAN,1988,2.1
Canada,CAN,1989,2.1
Canada,CAN,1990,2.1
Canada,CAN,1991,2.1
Canada,CAN,1992,2.1
Canada,CAN,1993,2.2
Canada,CAN,1994,2.1
Canada,CAN,1995,2.1
Canada,CAN,1996,2.1
Canada,CAN,1997,2.1
Canada,CAN,1998,1.863
Canada,CAN,1999,2.1
Canada,CAN,2001,1.889
Canada,CAN,2002,1.899
Canada,CAN,2004,1.899
Canada,CAN,2006,1.911
Canada,CAN,2008,1.961
Canada,CAN,2010,2.041
Canada,CAN,2013,2.453
Canada,CAN,2014,2.497
Canada,CAN,2015,2.539
Cape Verde,CPV,1960,0.077
Cape Verde,CPV,1970,0.082
Cape Verde,CPV,1980,0.176
Cape Verde,CPV,1983,0.2
Cape Verde,CPV,1986,0.329
Cape Verde,CPV,1988,0.342
Cape Verde,CPV,1992,0.234
Cape Verde,CPV,1996,0.171
Cape Verde,CPV,2004,0.493
Cape Verde,CPV,2009,0.516
Cape Verde,CPV,2010,0.595
Cape Verde,CPV,2011,0.59
Cape Verde,CPV,2012,0.519
Cape Verde,CPV,2013,0.607
Cape Verde,CPV,2015,0.788
Caribbean small states,,1990,0.614151553387514
Caribbean small states,,2013,0.917576739821882
Cayman Islands,CYM,1990,1.7
Cayman Islands,CYM,1995,1.7
Cayman Islands,CYM,1997,1.939
Central African Republic,CAF,1960,0.02
Central African Republic,CAF,1965,0.03
Central African Republic,CAF,1970,0.023
Central African Republic,CAF,1980,0.043
Central African Republic,CAF,1981,0.044
Central African Republic,CAF,1982,0.043
Central African Republic,CAF,1989,0.039
Central African Republic,CAF,1990,0.038
Central African Republic,CAF,1993,0.055
Central African Republic,CAF,1995,0.035
Central African Republic,CAF,2004,0.083
Central African Republic,CAF,2008,0.04
Central African Republic,CAF,2009,0.047
Central Europe and the Baltics,,1990,2.43960209132638
Central Europe and the Baltics,,2000,2.63648932423387
Central Europe and the Baltics,,2013,2.89722107081564
Chad,TCD,1960,0.014
Chad,TCD,1965,0.014
Chad,TCD,1970,0.016
Chad,TCD,1978,0.021
Chad,TCD,1986,0.026
Chad,TCD,1989,0.026
Chad,TCD,1994,0.033
Chad,TCD,1997,0.026
Chad,TCD,1998,0.02
Chad,TCD,1999,0.029
Chad,TCD,2000,0.028
Chad,TCD,2001,0.025
Chad,TCD,2004,0.036
Chad,TCD,2006,0.035
Chad,TCD,2012,0.042
Chad,TCD,2013,0.044
Channel Islands,OWID_CIS,1960,1.019
Channel Islands,OWID_CIS,1970,1.2
Channel Islands,OWID_CIS,1980,1.457
Channel Islands,OWID_CIS,1981,1.522
Chile,CHL,1960,0.559
Chile,CHL,1965,0.473
Chile,CHL,1970,0.463
Chile,CHL,1979,0.516
Chile,CHL,1984,0.817
Chile,CHL,1990,1.1
Chile,CHL,1991,1.066
Chile,CHL,1992,1.006
Chile,CHL,1994,1.103
Chile,CHL,1995,1.08
Chile,CHL,1998,1.153
Chile,CHL,2002,0.9
Chile,CHL,2003,0.954
Chile,CHL,2004,0.991
Chile,CHL,2005,0.986
Chile,CHL,2006,1.045
Chile,CHL,2007,1.041
Chile,CHL,2008,1.043
Chile,CHL,2009,1.033
China,CHN,1965,1.07
China,CHN,1966,0.96
China,CHN,1967,0.94
China,CHN,1968,0.91
China,CHN,1969,0.88
China,CHN,1970,0.86
China,CHN,1971,0.85
China,CHN,1972,0.86
China,CHN,1973,0.89
China,CHN,1974,0.92
China,CHN,1975,0.96
China,CHN,1976,1
China,CHN,1977,1.03
China,CHN,1978,1.08
China,CHN,1979,1.12
China,CHN,1980,1.18
China,CHN,1981,1.25
China,CHN,1982,1.3
China,CHN,1983,1.32
China,CHN,1984,1.33
China,CHN,1985,1.34
China,CHN,1986,1.35
China,CHN,1987,1.37
China,CHN,1988,1.47
China,CHN,1989,1.54
China,CHN,1990,1.123
China,CHN,1991,1.55
China,CHN,1992,1.55
China,CHN,1993,1.55
China,CHN,1994,1.58
China,CHN,1995,1.179
China,CHN,1996,1.185
China,CHN,1997,1.2
China,CHN,1998,1.199
China,CHN,1999,1.23
China,CHN,2000,1.255
China,CHN,2001,1.055
China,CHN,2002,1.133
China,CHN,2009,1.421
China,CHN,2010,1.462
China,CHN,2011,1.5
China,CHN,2012,1.569
China,CHN,2013,1.668
China,CHN,2014,1.724
China,CHN,2015,1.812
Colombia,COL,1960,0.354
Colombia,COL,1965,0.377
Colombia,COL,1970,0.42
Colombia,COL,1977,0.478
Colombia,COL,1984,0.758
Colombia,COL,1986,0.808
Colombia,COL,1988,0.873
Colombia,COL,1990,0.98
Colombia,COL,1991,1.026
