Date,Country,Region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-04-05,RO,Bacău County,-77.0,-49.0,-42.0,-75.0,-35.0,15.0
2020-04-05,RO,Bihor County,-78.0,-52.0,-32.0,-64.0,-34.0,13.0
2020-04-05,RO,Bistrița-Năsăud County,-78.0,-56.0,-56.0,-63.0,-42.0,15.0
2020-04-05,RO,Botoșani County,-73.0,-42.0,-12.0,-60.0,-37.0,12.0
2020-04-05,RO,Brașov County,-84.0,-59.0,-80.0,-78.0,-45.0,17.0
2020-04-05,RO,Brăila County,-75.0,-45.0,-71.0,-70.0,-34.0,14.0
2020-04-05,RO,Bucharest,-84.0,-48.0,-88.0,-75.0,-46.0,18.0
2020-04-05,RO,Buzău County,-73.0,-51.0,-51.0,-55.0,-31.0,15.0
2020-04-05,RO,Caraș-Severin County,-77.0,-52.0,-46.0,-67.0,-37.0,12.0
2020-04-05,RO,Cluj County,-83.0,-53.0,-49.0,-74.0,-43.0,15.0
2020-04-05,RO,Constanța County,-78.0,-43.0,-78.0,-71.0,-37.0,15.0
2020-04-05,RO,Covasna County,-83.0,-55.0,-59.0,-59.0,-34.0,17.0
2020-04-05,RO,Călărași County,-62.0,-45.0,-53.0,-62.0,-26.0,13.0
2020-04-05,RO,Dolj County,-76.0,-46.0,-58.0,-68.0,-32.0,13.0
2020-04-05,RO,Dâmbovița County,-75.0,-49.0,-52.0,-59.0,-35.0,14.0
2020-04-05,RO,Galați,-76.0,-44.0,-64.0,-67.0,-37.0,15.0
2020-04-05,RO,Giurgiu County,-64.0,-35.0,-46.0,-40.0,-25.0,13.0
2020-04-05,RO,Gorj County,-69.0,-43.0,-45.0,-65.0,-38.0,12.0
2020-04-05,RO,Harghita County,-78.0,-61.0,-50.0,-61.0,-40.0,16.0
2020-04-05,RO,Hunedoara County,-80.0,-47.0,-60.0,-68.0,-41.0,13.0
2020-04-05,RO,Ialomița County,-59.0,-48.0,-48.0,-63.0,-30.0,15.0
2020-04-05,RO,Iași County,-80.0,-45.0,-54.0,-71.0,-41.0,16.0
2020-04-05,RO,Ilfov County,-82.0,-40.0,-67.0,-80.0,-41.0,16.0
2020-04-05,RO,Maramureș County,-74.0,-52.0,-34.0,-61.0,-41.0,12.0
2020-04-05,RO,Mehedinți County,-77.0,-45.0,-54.0,-66.0,-34.0,17.0
2020-04-05,RO,Mureș County,-79.0,-53.0,-56.0,-66.0,-36.0,13.0
2020-04-05,RO,Neamț County,-77.0,-48.0,-61.0,-74.0,-39.0,14.0
2020-04-05,RO,Olt County,-68.0,-42.0,-51.0,-59.0,-35.0,12.0
2020-04-05,RO,Prahova,-81.0,-51.0,-72.0,-75.0,-40.0,14.0
2020-04-05,RO,Satu Mare County,-79.0,-47.0,-34.0,-69.0,-36.0,12.0
2020-04-05,RO,Sibiu,-80.0,-58.0,-67.0,-72.0,-43.0,15.0
2020-04-05,RO,Suceava County,-83.0,-62.0,-45.0,-79.0,-45.0,16.0
2020-04-05,RO,Sălaj,-75.0,-46.0,-47.0,-61.0,-37.0,15.0
2020-04-05,RO,Teleorman County,-63.0,-39.0,-21.0,-57.0,-27.0,11.0
2020-04-05,RO,Timiș County,-81.0,-50.0,-69.0,-71.0,-41.0,15.0
2020-04-05,RO,Tulcea County,-74.0,-50.0,-62.0,-65.0,-32.0,14.0
2020-04-05,RO,Vaslui County,-72.0,-44.0,-20.0,-64.0,-34.0,10.0
2020-04-05,RO,Vrancea County,-80.0,-51.0,-32.0,-71.0,-36.0,12.0
2020-04-05,RO,Vâlcea County,-74.0,-46.0,-44.0,-66.0,-35.0,13.0
2020-04-05,CH,Total,-76.0,-25.0,42.0,-48.0,-42.0,12.0
2020-04-05,CH,Aargau,-72.0,4.0,108.0,-30.0,-38.0,10.0
2020-04-05,CH,Appenzell Ausserrhoden,-62.0,13.0,,-27.0,-29.0,
2020-04-05,CH,Appenzell Innerrhoden,-80.0,,,,-31.0,
2020-04-05,CH,Basel City,-84.0,-14.0,11.0,-65.0,-40.0,24.0
2020-04-05,CH,Basel-Landschaft,-65.0,18.0,110.0,-32.0,-31.0,22.0
2020-04-05,CH,Canton of Bern,-74.0,-25.0,46.0,-49.0,-39.0,10.0
2020-04-05,CH,Canton of Zug,-64.0,26.0,,-39.0,-42.0,27.0
2020-04-05,CH,Fribourg,-77.0,-15.0,29.0,-39.0,-39.0,19.0
2020-04-05,CH,Geneva,-79.0,-35.0,41.0,-77.0,-46.0,21.0
2020-04-05,CH,Glarus,-87.0,-6.0,,-2.0,-39.0,
2020-04-05,CH,Grisons,-88.0,-73.0,-35.0,-68.0,-57.0,19.0
2020-04-05,CH,Jura,-81.0,-17.0,,-30.0,-35.0,14.0
2020-04-05,CH,Lucerne,-79.0,1.0,25.0,-46.0,-39.0,16.0
2020-04-05,CH,Neuchâtel,-72.0,-26.0,-18.0,-33.0,-39.0,28.0
2020-04-05,CH,Nidwalden,-62.0,0.0,-36.0,-57.0,-41.0,
2020-04-05,CH,Obwalden,-83.0,-4.0,-49.0,-51.0,-42.0,
2020-04-05,CH,Schaffhausen,-81.0,30.0,,-34.0,-37.0,2.0
2020-04-05,CH,Schwyz,-62.0,13.0,55.0,-32.0,-37.0,21.0
2020-04-05,CH,Solothurn,-72.0,-8.0,100.0,-40.0,-35.0,15.0
2020-04-05,CH,St. Gallen,-73.0,-9.0,70.0,-29.0,-36.0,11.0
2020-04-05,CH,Thurgau,-66.0,7.0,105.0,-19.0,-32.0,15.0
2020-04-05,CH,Ticino,-86.0,-65.0,-41.0,-57.0,-47.0,21.0
2020-04-05,CH,Uri,-74.0,0.0,,-62.0,-48.0,
2020-04-05,CH,Valais,-83.0,-52.0,-26.0,-60.0,-52.0,14.0
2020-04-05,CH,Vaud,-73.0,-24.0,25.0,-48.0,-44.0,14.0
2020-04-05,CH,Zurich,-76.0,-8.0,65.0,-56.0,-42.0,12.0
2020-04-05,RE,Total,-95.0,-89.0,,-91.0,,
2020-04-05,ES,Total,-94.0,-77.0,-90.0,-89.0,-68.0,23.0
2020-04-05,ES,Andalusia,-95.0,-80.0,-89.0,-90.0,-67.0,22.0
2020-04-05,ES,Aragon,-93.0,-75.0,-86.0,-90.0,-68.0,21.0
2020-04-05,ES,Asturias,-95.0,-77.0,-88.0,-81.0,-65.0,24.0
2020-04-05,ES,Balearic Islands,-93.0,-69.0,-91.0,-91.0,-66.0,22.0
2020-04-05,ES,Basque Country,-94.0,-76.0,-92.0,-88.0,-69.0,23.0
2020-04-05,ES,Canary Islands,-94.0,-75.0,-92.0,-89.0,-69.0,21.0
2020-04-05,ES,Cantabria,-95.0,-75.0,-92.0,-89.0,-64.0,24.0
2020-04-05,ES,Castile and León,-95.0,-78.0,-86.0,-90.0,-65.0,23.0
2020-04-05,ES,Castile-La Mancha,-94.0,-78.0,-85.0,-90.0,-66.0,22.0
2020-04-05,ES,Catalonia,-94.0,-75.0,-89.0,-88.0,-68.0,22.0
2020-04-05,ES,Ceuta,-90.0,-82.0,-91.0,,-66.0,4.0
2020-04-05,ES,Community of Madrid,-94.0,-73.0,-92.0,-90.0,-69.0,23.0
2020-04-05,ES,Extremadura,-94.0,-73.0,-82.0,-89.0,-63.0,23.0
2020-04-05,ES,Galicia,-93.0,-79.0,-86.0,-89.0,-64.0,25.0
2020-04-05,ES,La Rioja,-95.0,-75.0,-90.0,-92.0,-69.0,24.0
2020-04-05,ES,Melilla,-92.0,-84.0,-88.0,-78.0,-59.0,-2.0
2020-04-05,ES,Navarre,-93.0,-77.0,-88.0,-89.0,-67.0,24.0
2020-04-05,ES,Region of Murcia,-94.0,-84.0,-91.0,-87.0,-66.0,25.0
2020-04-05,ES,Valencian Community,-95.0,-85.0,-92.0,-91.0,-70.0,23.0
2020-04-05,TT,Total,-65.0,-41.0,-67.0,-82.0,-41.0,15.0
2020-04-05,BW,Total,-74.0,-66.0,-28.0,-81.0,-36.0,34.0
2020-04-05,CI,Total,-33.0,-22.0,-23.0,-37.0,-7.0,14.0
2020-04-05,LI,Total,-74.0,-18.0,,,,
2020-04-05,ZA,Total,-76.0,-51.0,-53.0,-78.0,-44.0,22.0
2020-04-05,TR,Total,-76.0,-40.0,-61.0,-76.0,-48.0,19.0
2020-04-05,IT,Total,-95.0,-82.0,-90.0,-86.0,-62.0,24.0
2020-04-05,IT,Abruzzo,-95.0,-79.0,-90.0,-89.0,-62.0,25.0
2020-04-05,IT,Aosta,-96.0,-87.0,-89.0,-86.0,-64.0,34.0
2020-04-05,IT,Apulia,-94.0,-81.0,-88.0,-88.0,-63.0,25.0
2020-04-05,IT,Basilicata,-93.0,-79.0,-78.0,-83.0,-59.0,22.0
2020-04-05,IT,Calabria,-95.0,-91.0,-85.0,-90.0,-62.0,22.0
2020-04-05,IT,Campania,-95.0,-74.0,-90.0,-88.0,-66.0,24.0
2020-04-05,IT,Emilia-Romagna,-96.0,-93.0,-88.0,-87.0,-63.0,24.0
2020-04-05,IT,Friuli-Venezia Giulia,-95.0,-94.0,-91.0,-83.0,-58.0,24.0
2020-04-05,IT,Lazio,-94.0,-71.0,-89.0,-87.0,-61.0,24.0
2020-04-05,IT,Liguria,-94.0,-78.0,-91.0,-84.0,-59.0,23.0
2020-04-05,IT,Lombardy,-96.0,-77.0,-90.0,-88.0,-64.0,24.0
2020-04-05,IT,Marche,-95.0,-86.0,-91.0,-85.0,-64.0,27.0
2020-04-05,IT,Molise,-94.0,-81.0,-84.0,-81.0,-59.0,28.0
2020-04-05,IT,Piedmont,-95.0,-80.0,-88.0,-85.0,-59.0,23.0
2020-04-05,IT,Sardinia,-94.0,-92.0,-87.0,-80.0,-54.0,22.0
2020-04-05,IT,Sicily,-96.0,-93.0,-91.0,-89.0,-67.0,25.0
2020-04-05,IT,Trentino-South Tyrol,-95.0,-93.0,-91.0,-85.0,-64.0,25.0
2020-04-05,IT,Tuscany,-95.0,-81.0,-90.0,-84.0,-61.0,25.0
2020-04-05,IT,Umbria,-95.0,-86.0,-86.0,-80.0,-59.0,25.0
2020-04-05,IT,Veneto,-96.0,-95.0,-91.0,-88.0,-61.0,25.0
2020-04-05,BZ,Total,-76.0,-64.0,-63.0,-82.0,-57.0,22.0
2020-04-05,DK,Total,-22.0,-12.0,118.0,-49.0,-23.0,7.0
2020-04-05,DK,Capital Region of Denmark,-36.0,-14.0,89.0,-58.0,-28.0,7.0
2020-04-05,DK,Central Denmark Region,-21.0,-12.0,166.0,-40.0,-21.0,7.0
2020-04-05,DK,North Denmark Region,-18.0,-6.0,94.0,-42.0,-20.0,6.0
2020-04-05,DK,Region Zealand,-6.0,-8.0,158.0,-42.0,-19.0,6.0
2020-04-05,DK,Region of Southern Denmark,-12.0,-11.0,101.0,-48.0,-22.0,6.0
2020-04-05,MZ,Total,-32.0,-17.0,-29.0,-34.0,-2.0,12.0
2020-04-05,CM,Total,-27.0,-18.0,-22.0,-25.0,-2.0,10.0
2020-04-05,BY,Total,-30.0,-4.0,19.0,-25.0,-9.0,3.0
2020-04-05,BS,Total,-96.0,-97.0,-83.0,-96.0,-76.0,29.0
2020-04-05,QA,Total,-50.0,-21.0,-35.0,-52.0,-36.0,24.0
2020-04-05,AR,Total,-83.0,-54.0,-87.0,-76.0,-52.0,26.0
2020-04-05,AR,Buenos Aires,-88.0,-44.0,-89.0,-80.0,-66.0,30.0
2020-04-05,AR,Buenos Aires Province,-84.0,-53.0,-89.0,-73.0,-56.0,25.0
2020-04-05,AR,Catamarca Province,-66.0,-33.0,-74.0,-79.0,-29.0,27.0
2020-04-05,AR,Chaco Province,-72.0,-51.0,-77.0,-90.0,-40.0,21.0
2020-04-05,AR,Chubut Province,-86.0,-59.0,-92.0,-87.0,-51.0,25.0
2020-04-05,AR,Cordoba,-85.0,-60.0,-88.0,-89.0,-52.0,29.0
2020-04-05,AR,Corrientes,-76.0,-56.0,-86.0,-88.0,-39.0,23.0
2020-04-05,AR,Entre Rios,-83.0,-57.0,-91.0,-82.0,-46.0,27.0
2020-04-05,AR,Formosa Province,-69.0,-40.0,-78.0,-63.0,-30.0,18.0
2020-04-05,AR,Jujuy,-73.0,-40.0,-78.0,-89.0,-36.0,23.0
2020-04-05,AR,La Pampa,-83.0,-64.0,-86.0,-82.0,-50.0,26.0
2020-04-05,AR,La Rioja Province,-64.0,-52.0,-78.0,-83.0,-39.0,24.0
2020-04-05,AR,Mendoza Province,-78.0,-50.0,-81.0,-69.0,-45.0,27.0
2020-04-05,AR,Misiones Province,-75.0,-52.0,-80.0,-91.0,-42.0,24.0
2020-04-05,AR,Neuquen,-96.0,-94.0,-95.0,-89.0,-69.0,32.0
2020-04-05,AR,Río Negro,-88.0,-66.0,-90.0,-96.0,-51.0,27.0
2020-04-05,AR,Salta Province,-77.0,-43.0,-80.0,-67.0,-40.0,24.0
2020-04-05,AR,San Juan Province,-71.0,-42.0,-76.0,-85.0,-39.0,25.0
2020-04-05,AR,San Luis Province,-82.0,-57.0,-88.0,-91.0,-49.0,28.0
2020-04-05,AR,Santa Cruz Province,-80.0,-66.0,-87.0,-85.0,-53.0,23.0
2020-04-05,AR,Santa Fe Province,-83.0,-56.0,-87.0,-70.0,-52.0,27.0
2020-04-05,AR,Santiago del Estero Province,-72.0,-44.0,-71.0,-87.0,-40.0,23.0
2020-04-05,AR,Tierra del Fuego Province,-86.0,-62.0,-89.0,-93.0,-59.0,24.0
2020-04-05,AR,Tucumán,-76.0,-43.0,-72.0,-86.0,-43.0,25.0
2020-04-05,KH,Total,-41.0,-27.0,-30.0,-58.0,-20.0,11.0
2020-04-05,VN,Total,-67.0,-44.0,-47.0,-67.0,-32.0,22.0
2020-04-05,MY,Total,-81.0,-58.0,-68.0,-84.0,-51.0,31.0
2020-04-05,HN,Total,-88.0,-83.0,-66.0,-84.0,-56.0,22.0
2020-04-05,DO,Total,-78.0,-60.0,-71.0,-83.0,-53.0,22.0
2020-04-05,DE,Total,-58.0,-13.0,61.0,-47.0,-30.0,8.0
2020-04-05,DE,Baden-Württemberg,-60.0,-2.0,69.0,-46.0,-36.0,8.0
2020-04-05,DE,Bavaria,-65.0,-19.0,21.0,-60.0,-39.0,10.0
2020-04-05,DE,Berlin,-67.0,-17.0,33.0,-54.0,-33.0,8.0
2020-04-05,DE,Brandenburg,-46.0,-7.0,70.0,-35.0,-17.0,6.0
2020-04-05,DE,Bremen,-64.0,-22.0,111.0,-59.0,-32.0,7.0
2020-04-05,DE,Hamburg,-65.0,-20.0,80.0,-56.0,-34.0,9.0
2020-04-05,DE,Hesse,-59.0,-6.0,96.0,-62.0,-34.0,8.0
2020-04-05,DE,Lower Saxony,-58.0,-17.0,89.0,-37.0,-29.0,7.0
2020-04-05,DE,Mecklenburg-Vorpommern,-54.0,-13.0,23.0,-44.0,-18.0,5.0
2020-04-05,DE,North Rhine-Westphalia,-53.0,-6.0,107.0,-44.0,-29.0,7.0
2020-04-05,DE,Rhineland-Palatinate,-56.0,-3.0,71.0,-53.0,-32.0,7.0
2020-04-05,DE,Saarland,-63.0,-26.0,54.0,-60.0,-34.0,8.0
2020-04-05,DE,Saxony,-55.0,-11.0,63.0,-43.0,-16.0,6.0
2020-04-05,DE,Saxony-Anhalt,-51.0,-7.0,47.0,-46.0,-12.0,4.0
2020-04-05,DE,Schleswig-Holstein,-57.0,-32.0,37.0,-39.0,-29.0,7.0
2020-04-05,DE,Thuringia,-46.0,5.0,77.0,-28.0,-18.0,4.0
2020-04-05,AU,Total,-44.0,-18.0,-43.0,-62.0,-36.0,14.0
2020-04-05,AU,Australian Capital Territory,-39.0,-3.0,-7.0,-61.0,-36.0,13.0
2020-04-05,AU,New South Wales,-43.0,-11.0,-27.0,-59.0,-37.0,14.0
2020-04-05,AU,Northern Territory,-29.0,-16.0,-22.0,-58.0,-25.0,12.0
2020-04-05,AU,Queensland,-37.0,-17.0,-35.0,-60.0,-33.0,12.0
2020-04-05,AU,South Australia,-40.0,-13.0,-48.0,-59.0,-30.0,12.0
2020-04-05,AU,Tasmania,-52.0,-31.0,-76.0,-70.0,-33.0,15.0
2020-04-05,AU,Victoria,-52.0,-26.0,-75.0,-74.0,-42.0,18.0
2020-04-05,AU,Western Australia,-40.0,-17.0,-43.0,-61.0,-29.0,14.0
2020-04-05,KE,Total,-43.0,-29.0,-19.0,-37.0,-20.0,17.0
2020-04-05,MT,Total,-74.0,-32.0,-38.0,-54.0,-48.0,18.0
2020-04-05,PR,Total,-93.0,-95.0,-87.0,-88.0,-66.0,26.0
