Year, Week, Virus,0-4 yr,5-24 yr,25-64 yr,65+ yr
2019,10,A (H1N1)pdm09,165,251,521,235
2019,11,A (H1N1)pdm09,129,184,452,210
2019,12,A (H1N1)pdm09,85,109,314,168
2019,13,A (H1N1)pdm09,53,83,205,98
2019,14,A (H1N1)pdm09,33,44,132,82
2019,15,A (H1N1)pdm09,19,36,84,54
2019,16,A (H1N1)pdm09,8,21,62,30
2019,17,A (H1N1)pdm09,10,12,42,20
2019,18,A (H1N1)pdm09,8,9,31,7
2019,19,A (H1N1)pdm09,3,11,18,11
2019,20,A (H1N1)pdm09,4,10,20,3
2019,21,A (H1N1)pdm09,3,8,10,4
2019,22,A (H1N1)pdm09,3,4,10,2
2019,23,A (H1N1)pdm09,3,9,9,4
2019,24,A (H1N1)pdm09,3,8,7,2
2019,25,A (H1N1)pdm09,1,0,6,2
2019,26,A (H1N1)pdm09,0,3,6,5
2019,27,A (H1N1)pdm09,1,6,17,5
2019,28,A (H1N1)pdm09,1,4,1,2
2019,29,A (H1N1)pdm09,3,3,4,1
2019,30,A (H1N1)pdm09,2,5,5,6
2019,31,A (H1N1)pdm09,2,5,6,0
2019,32,A (H1N1)pdm09,3,1,3,0
2019,33,A (H1N1)pdm09,3,3,7,4
2019,34,A (H1N1)pdm09,3,1,10,0
2019,35,A (H1N1)pdm09,1,1,6,4
2019,36,A (H1N1)pdm09,2,7,5,1
2019,37,A (H1N1)pdm09,2,4,5,0
2019,38,A (H1N1)pdm09,1,15,10,1
2019,39,A (H1N1)pdm09,1,10,7,0
2018,40,A (Subtyping not Performed),1,2,4,1
2018,41,A (Subtyping not Performed),2,2,1,3
2018,42,A (Subtyping not Performed),3,2,6,2
2018,43,A (Subtyping not Performed),0,0,2,0
2018,44,A (Subtyping not Performed),1,0,1,1
2018,45,A (Subtyping not Performed),3,6,6,0
2018,46,A (Subtyping not Performed),5,2,2,2
2018,47,A (Subtyping not Performed),4,1,3,2
2018,48,A (Subtyping not Performed),1,2,9,0
2018,49,A (Subtyping not Performed),4,2,6,1
2018,50,A (Subtyping not Performed),3,1,7,6
2018,51,A (Subtyping not Performed),15,27,20,5
2018,52,A (Subtyping not Performed),17,36,51,7
2019,1,A (Subtyping not Performed),26,45,71,17
2019,2,A (Subtyping not Performed),11,15,45,13
2019,3,A (Subtyping not Performed),23,39,32,13
2019,4,A (Subtyping not Performed),20,42,39,8
2019,5,A (Subtyping not Performed),9,17,29,9
2019,6,A (Subtyping not Performed),6,9,19,8
2019,7,A (Subtyping not Performed),3,9,23,9
2019,8,A (Subtyping not Performed),6,21,18,11
2019,9,A (Subtyping not Performed),7,20,22,11
2019,10,A (Subtyping not Performed),8,12,22,13
2019,11,A (Subtyping not Performed),7,6,17,14
2019,12,A (Subtyping not Performed),2,3,7,5
2019,13,A (Subtyping not Performed),3,2,11,5
2019,14,A (Subtyping not Performed),0,3,8,4
2019,15,A (Subtyping not Performed),0,3,3,2
2019,16,A (Subtyping not Performed),1,1,2,2
2019,17,A (Subtyping not Performed),1,1,2,0
2019,18,A (Subtyping not Performed),0,0,1,4
2019,19,A (Subtyping not Performed),8,2,3,0
2019,20,A (Subtyping not Performed),2,0,0,1
2019,21,A (Subtyping not Performed),0,2,0,1
2019,22,A (Subtyping not Performed),0,1,2,1
2019,23,A (Subtyping not Performed),0,0,2,0
2019,24,A (Subtyping not Performed),3,2,2,0
2019,25,A (Subtyping not Performed),0,0,1,0
2019,26,A (Subtyping not Performed),0,0,2,0
2019,27,A (Subtyping not Performed),0,0,3,0
2019,28,A (Subtyping not Performed),0,0,0,1
2019,29,A (Subtyping not Performed),2,1,1,0
2019,30,A (Subtyping not Performed),0,1,1,0
2019,31,A (Subtyping not Performed),0,1,0,1
2019,32,A (Subtyping not Performed),0,0,0,0
2019,33,A (Subtyping not Performed),1,1,1,0
2019,34,A (Subtyping not Performed),0,0,1,0
2019,35,A (Subtyping not Performed),0,1,2,1
2019,36,A (Subtyping not Performed),5,1,2,1
2019,37,A (Subtyping not Performed),6,3,2,3
2019,38,A (Subtyping not Performed),2,5,1,1
2019,39,A (Subtyping not Performed),3,8,4,2
2018,40,B (Victoria Lineage),3,3,1,0
2018,41,B (Victoria Lineage),0,2,1,0
2018,42,B (Victoria Lineage),1,0,0,0
2018,43,B (Victoria Lineage),0,0,0,0
2018,44,B (Victoria Lineage),1,0,0,0
2018,45,B (Victoria Lineage),3,1,0,0
2018,46,B (Victoria Lineage),0,0,1,0
2018,47,B (Victoria Lineage),0,1,1,0
2018,48,B (Victoria Lineage),0,2,0,0
2018,49,B (Victoria Lineage),1,2,0,0
2018,50,B (Victoria Lineage),1,4,2,0
2018,51,B (Victoria Lineage),5,9,5,1
2018,52,B (Victoria Lineage),3,7,7,1
2019,1,B (Victoria Lineage),2,3,1,2
2019,2,B (Victoria Lineage),0,0,2,0
2019,3,B (Victoria Lineage),2,14,1,0
2019,4,B (Victoria Lineage),3,6,7,1
2019,5,B (Victoria Lineage),0,13,9,2
2019,6,B (Victoria Lineage),1,8,7,1
2019,7,B (Victoria Lineage),4,18,5,0
2019,8,B (Victoria Lineage),5,14,6,3
2019,9,B (Victoria Lineage),7,19,7,0
2019,10,B (Victoria Lineage),7,21,10,2
2019,11,B (Victoria Lineage),8,36,7,3
2019,12,B (Victoria Lineage),7,27,10,5
2019,13,B (Victoria Lineage),7,41,13,5
2019,14,B (Victoria Lineage),7,43,18,1
2019,15,B (Victoria Lineage),8,28,19,2
2019,16,B (Victoria Lineage),6,29,14,1
2019,17,B (Victoria Lineage),6,18,10,3
2019,18,B (Victoria Lineage),8,20,9,2
2019,19,B (Victoria Lineage),2,24,10,4
2019,20,B (Victoria Lineage),3,22,9,4
2019,21,B (Victoria Lineage),2,20,4,0
2019,22,B (Victoria Lineage),3,12,8,1
2019,23,B (Victoria Lineage),5,13,12,2
2019,24,B (Victoria Lineage),4,9,5,0
2019,25,B (Victoria Lineage),3,5,5,0
2019,26,B (Victoria Lineage),1,5,5,1
2019,27,B (Victoria Lineage),3,1,7,1
2019,28,B (Victoria Lineage),2,3,3,1
2019,29,B (Victoria Lineage),1,5,2,1
2019,30,B (Victoria Lineage),1,6,2,2
2019,31,B (Victoria Lineage),1,2,4,2
2019,32,B (Victoria Lineage),3,7,5,1
2019,33,B (Victoria Lineage),12,19,5,2
2019,34,B (Victoria Lineage),7,20,5,0
2019,35,B (Victoria Lineage),8,18,3,0
2019,36,B (Victoria Lineage),3,22,4,0
2019,37,B (Victoria Lineage),7,29,7,1
2019,38,B (Victoria Lineage),10,30,5,1
2019,39,B (Victoria Lineage),6,30,13,0
2018,40,B (Yamagata Lineage),0,6,4,1
2018,41,B (Yamagata Lineage),1,1,2,1
2018,42,B (Yamagata Lineage),0,8,3,1
2018,43,B (Yamagata Lineage),1,5,5,1
2018,44,B (Yamagata Lineage),1,3,3,1
2018,45,B (Yamagata Lineage),0,2,4,1
2018,46,B (Yamagata Lineage),0,0,3,0
2018,47,B (Yamagata Lineage),0,1,0,4
2018,48,B (Yamagata Lineage),2,1,3,3
2018,49,B (Yamagata Lineage),0,1,3,0
2018,50,B (Yamagata Lineage),0,3,1,2
2018,51,B (Yamagata Lineage),1,4,2,1
2018,52,B (Yamagata Lineage),1,3,3,2
2019,1,B (Yamagata Lineage),4,2,5,4
2019,2,B (Yamagata Lineage),5,2,6,3
2019,3,B (Yamagata Lineage),0,8,5,2
2019,4,B (Yamagata Lineage),1,3,3,2
2019,5,B (Yamagata Lineage),2,9,3,4
2019,6,B (Yamagata Lineage),0,5,2,3
2019,7,B (Yamagata Lineage),2,8,4,4
2019,8,B (Yamagata Lineage),1,3,6,2
2019,9,B (Yamagata Lineage),1,3,2,3
2019,10,B (Yamagata Lineage),2,7,10,7
2019,11,B (Yamagata Lineage),3,7,11,7
2019,12,B (Yamagata Lineage),2,5,8,3
2019,13,B (Yamagata Lineage),2,5,9,8
2019,14,B (Yamagata Lineage),0,2,9,6
2019,15,B (Yamagata Lineage),1,8,5,3
2019,16,B (Yamagata Lineage),1,8,8,2
2019,17,B (Yamagata Lineage),1,2,3,8
2019,18,B (Yamagata Lineage),0,2,6,3
2019,19,B (Yamagata Lineage),0,2,2,4
2019,20,B (Yamagata Lineage),0,0,5,1
2019,21,B (Yamagata Lineage),1,0,1,1
2019,22,B (Yamagata Lineage),0,4,1,5
2019,23,B (Yamagata Lineage),1,0,0,0
2019,24,B (Yamagata Lineage),0,0,1,0
2019,25,B (Yamagata Lineage),0,0,0,0
2019,26,B (Yamagata Lineage),0,1,1,1
2019,27,B (Yamagata Lineage),0,1,0,0
2019,28,B (Yamagata Lineage),0,0,1,0
2019,29,B (Yamagata Lineage),0,0,0,0
2019,30,B (Yamagata Lineage),0,0,0,0
2019,31,B (Yamagata Lineage),0,0,0,2
2019,32,B (Yamagata Lineage),0,0,0,0
2019,33,B (Yamagata Lineage),0,0,0,0
2019,34,B (Yamagata Lineage),0,0,0,0
2019,35,B (Yamagata Lineage),0,0,0,0
2019,36,B (Yamagata Lineage),0,1,0,0
2019,37,B (Yamagata Lineage),0,1,1,0
2019,38,B (Yamagata Lineage),0,0,0,0
2019,39,B (Yamagata Lineage),0,0,0,0
2018,40,B (Lineage Unspecified),0,0,0,0
2018,41,B (Lineage Unspecified),1,2,0,2
2018,42,B (Lineage Unspecified),0,1,0,0
2018,43,B (Lineage Unspecified),0,1,0,1
2018,44,B (Lineage Unspecified),1,0,0,0
2018,45,B (Lineage Unspecified),2,1,0,1
2018,46,B (Lineage Unspecified),0,0,0,0
2018,47,B (Lineage Unspecified),0,0,0,0
2018,48,B (Lineage Unspecified),0,0,1,0
2018,49,B (Lineage Unspecified),3,2,1,1
2018,50,B (Lineage Unspecified),1,2,0,0
2018,51,B (Lineage Unspecified),2,4,2,1
2018,52,B (Lineage Unspecified),2,3,2,1
2019,1,B (Lineage Unspecified),1,3,1,1
2019,2,B (Lineage Unspecified),5,4,1,2
2019,3,B (Lineage Unspecified),1,3,0,0
2019,4,B (Lineage Unspecified),1,8,3,2
2019,5,B (Lineage Unspecified),2,4,1,0
2019,6,B (Lineage Unspecified),1,8,3,2
2019,7,B (Lineage Unspecified),1,15,3,1
2019,8,B (Lineage Unspecified),4,35,13,0
2019,9,B (Lineage Unspecified),6,22,7,0
2019,10,B (Lineage Unspecified),15,25,10,0
2019,11,B (Lineage Unspecified),12,28,7,2
2019,12,B (Lineage Unspecified),7,41,16,4
2019,13,B (Lineage Unspecified),25,63,12,2
2019,14,B (Lineage Unspecified),27,46,16,1
2019,15,B (Lineage Unspecified),14,44,17,0
2019,16,B (Lineage Unspecified),2,15,3,1
2019,17,B (Lineage Unspecified),9,46,9,2
2019,18,B (Lineage Unspecified),2,4,7,0
2019,19,B (Lineage Unspecified),10,6,5,0
2019,20,B (Lineage Unspecified),0,7,2,0
2019,21,B (Lineage Unspecified),1,0,1,1
2019,22,B (Lineage Unspecified),3,8,9,0
2019,23,B (Lineage Unspecified),5,8,6,0
2019,24,B (Lineage Unspecified),1,4,1,0
2019,25,B (Lineage Unspecified),2,6,1,0
2019,26,B (Lineage Unspecified),1,2,1,0
2019,27,B (Lineage Unspecified),0,0,2,0
2019,28,B (Lineage Unspecified),0,1,1,0
2019,29,B (Lineage Unspecified),0,1,0,0
2019,30,B (Lineage Unspecified),0,0,3,0
2019,31,B (Lineage Unspecified),1,0,0,0
2019,32,B (Lineage Unspecified),0,1,0,0
2019,33,B (Lineage Unspecified),0,0,0,0
2019,34,B (Lineage Unspecified),0,1,1,0
2019,35,B (Lineage Unspecified),3,2,1,0
2019,36,B (Lineage Unspecified),0,0,0,0
2019,37,B (Lineage Unspecified),0,2,0,0
2019,38,B (Lineage Unspecified),0,3,0,1
2019,39,B (Lineage Unspecified),1,4,2,0
2017,40,A (H3),7,21,40,43
2017,41,A (H3),6,22,54,44
2017,42,A (H3),12,40,49,51
2017,43,A (H3),17,34,48,52
2017,44,A (H3),20,63,66,71
2017,45,A (H3),29,85,77,83
2017,46,A (H3),33,94,122,123
2017,47,A (H3),43,97,166,152
2017,48,A (H3),61,163,226,274
2017,49,A (H3),85,276,292,321
2017,50,A (H3),115,353,419,448
2017,51,A (H3),138,448,713,861
2017,52,A (H3),193,328,784,1142
2018,1,A (H3),166,319,896,1302
2018,2,A (H3),204,477,852,1214
2018,3,A (H3),184,477,730,1051
2018,4,A (H3),194,578,779,975
2018,5,A (H3),168,586,705,844
2018,6,A (H3),133,472,594,683
2018,7,A (H3),94,366,413,514
2018,8,A (H3),86,221,273,422
2018,9,A (H3),56,108,169,210
2018,10,A (H3),29,70,114,130
2018,11,A (H3),15,52,77,108
2018,12,A (H3),19,53,64,77
2018,13,A (H3),16,57,70,64
2018,14,A (H3),15,37,54,48
2018,15,A (H3),13,24,28,33
2018,16,A (H3),5,19,18,39
2018,17,A (H3),5,9,17,21
2018,18,A (H3),3,6,10,8
2018,19,A (H3),3,5,6,6
2018,20,A (H3),1,3,3,3
2018,21,A (H3),1,0,3,2
2018,22,A (H3),0,1,4,0
2018,23,A (H3),0,1,2,0
2018,24,A (H3),0,1,2,0
2018,25,A (H3),0,1,2,0
2018,26,A (H3),0,3,3,0
2018,27,A (H3),0,0,1,4
2018,28,A (H3),0,1,2,6
2018,29,A (H3),1,0,0,3
2018,30,A (H3),0,1,2,0
2018,31,A (H3),0,3,4,3
2018,32,A (H3),0,0,5,3
2018,33,A (H3),0,1,1,7
2018,34,A (H3),1,5,4,10
2018,35,A (H3),0,1,1,3
2018,36,A (H3),0,1,5,9
2018,37,A (H3),1,2,4,6
2018,38,A (H3),3,0,5,7
2018,39,A (H3),0,0,5,7
2017,40,A (H1N1)pdm09,2,3,6,2
2017,41,A (H1N1)pdm09,4,3,5,0
2017,42,A (H1N1)pdm09,4,4,3,1
2017,43,A (H1N1)pdm09,7,12,5,0
2017,44,A (H1N1)pdm09,5,10,2,2
2017,45,A (H1N1)pdm09,3,6,10,0
2017,46,A (H1N1)pdm09,12,27,10,3
2017,47,A (H1N1)pdm09,10,8,17,1
2017,48,A (H1N1)pdm09,5,13,21,20
2017,49,A (H1N1)pdm09,9,19,27,9
2017,50,A (H1N1)pdm09,18,45,46,13
2017,51,A (H1N1)pdm09,22,46,117,37
2017,52,A (H1N1)pdm09,24,56,121,49
2018,1,A (H1N1)pdm09,45,42,141,62
2018,2,A (H1N1)pdm09,40,76,162,65
2018,3,A (H1N1)pdm09,64,82,157,50
2018,4,A (H1N1)pdm09,64,150,207,74
2018,5,A (H1N1)pdm09,74,168,186,76
2018,6,A (H1N1)pdm09,71,159,202,60
2018,7,A (H1N1)pdm09,62,122,185,67
2018,8,A (H1N1)pdm09,44,53,115,48
2018,9,A (H1N1)pdm09,20,57,102,35
2018,10,A (H1N1)pdm09,20,32,59,19
2018,11,A (H1N1)pdm09,32,43,54,25
2018,12,A (H1N1)pdm09,10,23,51,17
2018,13,A (H1N1)pdm09,18,26,59,16
2018,14,A (H1N1)pdm09,15,31,42,8
2018,15,A (H1N1)pdm09,11,28,43,13
2018,16,A (H1N1)pdm09,6,15,19,3
2018,17,A (H1N1)pdm09,8,16,11,7
2018,18,A (H1N1)pdm09,9,7,12,4
2018,19,A (H1N1)pdm09,2,4,6,1
2018,20,A (H1N1)pdm09,5,4,4,3
2018,21,A (H1N1)pdm09,9,5,2,2
2018,22,A (H1N1)pdm09,2,0,3,2
2018,23,A (H1N1)pdm09,1,1,2,2
2018,24,A (H1N1)pdm09,0,2,2,1
2018,25,A (H1N1)pdm09,0,1,0,0
2018,26,A (H1N1)pdm09,0,1,1,0
2018,27,A (H1N1)pdm09,3,0,3,1
2018,28,A (H1N1)pdm09,3,0,4,0
2018,29,A (H1N1)pdm09,0,7,5,1
2018,30,A (H1N1)pdm09,3,3,2,1
2018,31,A (H1N1)pdm09,1,3,2,1
2018,32,A (H1N1)pdm09,0,2,3,1
2018,33,A (H1N1)pdm09,0,0,3,1
2018,34,A (H1N1)pdm09,2,5,8,2
2018,35,A (H1N1)pdm09,3,0,4,3
2018,36,A (H1N1)pdm09,2,5,6,3
2018,37,A (H1N1)pdm09,6,8,12,3
2018,38,A (H1N1)pdm09,0,4,12,5
2018,39,A (H1N1)pdm09,1,6,11,2
2017,40,A (Subtyping not Performed),0,1,1,1
2017,41,A (Subtyping not Performed),2,2,2,2
2017,42,A (Subtyping not Performed),0,0,0,0
2017,43,A (Subtyping not Performed),7,6,8,3
2017,44,A (Subtyping not Performed),7,2,5,1
2017,45,A (Subtyping not Performed),0,0,1,0
2017,46,A (Subtyping not Performed),0,1,1,0
2017,47,A (Subtyping not Performed),0,0,0,0
2017,48,A (Subtyping not Performed),1,0,5,2
2017,49,A (Subtyping not Performed),0,0,0,2
2017,50,A (Subtyping not Performed),0,2,6,2
2017,51,A (Subtyping not Performed),1,2,8,4
2017,52,A (Subtyping not Performed),1,3,5,12
2018,1,A (Subtyping not Performed),0,0,10,10
2018,2,A (Subtyping not Performed),2,5,12,12
2018,3,A (Subtyping not Performed),0,3,10,8
2018,4,A (Subtyping not Performed),0,5,6,18
2018,5,A (Subtyping not Performed),1,7,9,15
2018,6,A (Subtyping not Performed),3,1,7,12
2018,7,A (Subtyping not Performed),0,0,5,17
2018,8,A (Subtyping not Performed),0,3,3,5
2018,9,A (Subtyping not Performed),1,0,3,2
2018,10,A (Subtyping not Performed),3,3,7,2
2018,11,A (Subtyping not Performed),2,6,4,0
2018,12,A (Subtyping not Performed),1,0,2,2
2018,13,A (Subtyping not Performed),0,2,0,1
2018,14,A (Subtyping not Performed),0,0,1,3
2018,15,A (Subtyping not Performed),0,0,0,0
2018,16,A (Subtyping not Performed),0,0,0,0
2018,17,A (Subtyping not Performed),0,0,0,0
2018,18,A (Subtyping not Performed),0,1,1,0
2018,19,A (Subtyping not Performed),0,0,0,0
2018,20,A (Subtyping not Performed),0,0,0,0
2018,21,A (Subtyping not Performed),0,0,0,0
2018,22,A (Subtyping not Performed),0,0,0,0
