Entity,Code,Year,"Hospital beds (per 1,000 people) (per 1,000 people)"
Arab World,,2009,1.51203645840319
Arab World,,2012,1.14987630463133
Argentina,ARG,1960,6.35225057601929
Argentina,ARG,1970,5.58580017089844
Argentina,ARG,1990,4.5942997932
Argentina,ARG,1993,4.5999999046
Argentina,ARG,1996,3.2899999619
Argentina,ARG,2000,4.1
Argentina,ARG,2005,4
Argentina,ARG,2010,4.5
Argentina,ARG,2011,4.5
Argentina,ARG,2012,4.7
Armenia,ARM,1980,8.39540004730225
Armenia,ARM,1981,8.57839965820313
Armenia,ARM,1982,8.68280029296875
Armenia,ARM,1983,8.54810047149658
Armenia,ARM,1984,8.66009998321533
Armenia,ARM,1985,8.69919967651367
Armenia,ARM,1986,9.02420043945313
Armenia,ARM,1987,8.99660015106201
Armenia,ARM,1988,9.19040012359619
Armenia,ARM,1989,9.03579998016357
Armenia,ARM,1990,9.0947999954
Armenia,ARM,1991,8.529299736
Armenia,ARM,1992,8.3676996231
Armenia,ARM,1993,8.2146997452
Armenia,ARM,1994,7.765999794
Armenia,ARM,1995,7.6399998665
Armenia,ARM,1996,7.1300001144
Armenia,ARM,1997,6.75
Armenia,ARM,1998,6.6599998474
Armenia,ARM,1999,6.1999998093
Armenia,ARM,2000,5.4699997902
Armenia,ARM,2001,4.25
Armenia,ARM,2003,4.4000000954
Armenia,ARM,2005,4.5
Armenia,ARM,2006,4.4
Armenia,ARM,2007,4.1
Armenia,ARM,2009,3.7
Armenia,ARM,2011,3.95
Armenia,ARM,2012,3.9
Australia,AUS,1960,11.1999998092651
Australia,AUS,1961,11.3000001907349
Australia,AUS,1962,11.3999996185303
Australia,AUS,1963,11.6999998092651
Australia,AUS,1964,11.8000001907349
Australia,AUS,1965,11.8999996185303
Australia,AUS,1966,11.8000001907349
Australia,AUS,1967,11.8000001907349
Australia,AUS,1968,11.8000001907349
Australia,AUS,1969,11.6999998092651
Australia,AUS,1970,11.6999998092651
Australia,AUS,1971,11.6000003814697
Australia,AUS,1972,11.8000001907349
Australia,AUS,1973,11.8000001907349
Australia,AUS,1974,12
Australia,AUS,1975,11.8999996185303
Australia,AUS,1976,11.8999996185303
Australia,AUS,1977,12.1000003814697
Australia,AUS,1978,12.1000003814697
Australia,AUS,1979,12.1999998092651
Australia,AUS,1980,12.3000001907349
Australia,AUS,1981,12.1999998092651
Australia,AUS,1982,12.1000003814697
Australia,AUS,1983,11.8999996185303
Australia,AUS,1984,11.6999998092651
Australia,AUS,1985,10.8999996185303
Australia,AUS,1987,10.5
Australia,AUS,1989,9.80000019073486
Australia,AUS,1991,9.1999998093
Australia,AUS,1992,8.8999996185
Australia,AUS,1993,8.8999996185
Australia,AUS,1994,8.6999998093
Australia,AUS,1995,8.6999998093
Australia,AUS,1996,8.5
Australia,AUS,1997,8.3000001907
Australia,AUS,1998,8.1999998093
Australia,AUS,1999,7.9000000954
Australia,AUS,2000,7.8000001907
Australia,AUS,2001,7.5999999046
Australia,AUS,2002,4
Australia,AUS,2004,3.9
Australia,AUS,2005,4
Australia,AUS,2006,3.97
Australia,AUS,2009,3.8
Australia,AUS,2010,3.9
Austria,AUT,1960,10.8000001907349
Austria,AUT,1970,10.8000001907349
Austria,AUT,1980,11.1999998092651
Austria,AUT,1985,10.8999996185303
Austria,AUT,1986,10.8000001907349
Austria,AUT,1987,10.6999998092651
Austria,AUT,1988,10.6000003814697
Austria,AUT,1989,10.3999996185303
Austria,AUT,1990,10.1999998093
Austria,AUT,1991,9.8999996185
Austria,AUT,1992,9.6999998093
Austria,AUT,1993,9.3999996185
Austria,AUT,1994,9.5
Austria,AUT,1995,9.3999996185
Austria,AUT,1996,9.3000001907
Austria,AUT,1997,9.1999998093
Austria,AUT,1998,9
Austria,AUT,1999,8.8999996185
Austria,AUT,2000,8.6999998093
Austria,AUT,2001,8.6000003815
Austria,AUT,2002,8.3999996185
Austria,AUT,2003,8.3000001907
Austria,AUT,2005,7.7
Austria,AUT,2006,7.6496
Austria,AUT,2007,7.8
Austria,AUT,2008,7.7
Austria,AUT,2009,7.7
Austria,AUT,2010,7.63
Austria,AUT,2011,7.6
Azerbaijan,AZE,1980,9.74520015716553
Azerbaijan,AZE,1985,9.89680004119873
Azerbaijan,AZE,1986,9.84109973907471
Azerbaijan,AZE,1987,9.88210010528564
Azerbaijan,AZE,1988,9.96630001068115
Azerbaijan,AZE,1989,10.204400062561
Azerbaijan,AZE,1990,10.0992002487
Azerbaijan,AZE,1991,10.0208997726
Azerbaijan,AZE,1992,10.5427999496
Azerbaijan,AZE,1993,10.4875001907
Azerbaijan,AZE,1994,10.070599556
Azerbaijan,AZE,1995,10.0200004578
Azerbaijan,AZE,1996,9.8100004196
Azerbaijan,AZE,1997,9.6099996567
Azerbaijan,AZE,1998,9.0600004196
Azerbaijan,AZE,1999,8.8999996185
Azerbaijan,AZE,2000,8.6800003052
Azerbaijan,AZE,2001,8.5100002289
Azerbaijan,AZE,2003,8.3000001907
Azerbaijan,AZE,2005,8.2
Azerbaijan,AZE,2006,8.1
Azerbaijan,AZE,2007,7.9
Azerbaijan,AZE,2009,7.5
Azerbaijan,AZE,2011,4.55
Azerbaijan,AZE,2012,4.7
Bahamas,BHS,1960,5.72566366195679
Bahamas,BHS,1970,5.09359979629517
Bahamas,BHS,1980,4.4047999382019
Bahamas,BHS,1990,4
Bahamas,BHS,1993,3.8838999271
Bahamas,BHS,1995,3.6
Bahamas,BHS,1996,3.9400000572
Bahamas,BHS,2000,3.5
Bahamas,BHS,2001,3.4
Bahamas,BHS,2002,3.4000000954
Bahamas,BHS,2003,3.4
Bahamas,BHS,2004,3.4
Bahamas,BHS,2006,3.2
Bahamas,BHS,2007,3.2
Bahamas,BHS,2008,3.1
Bahamas,BHS,2009,3.1
Bahamas,BHS,2010,3.1
Bahamas,BHS,2011,2.9
Bahrain,BHR,1960,4.71140956878662
Bahrain,BHR,1970,4.34289979934692
Bahrain,BHR,1980,3.31439995765686
Bahrain,BHR,1989,3.33949995040894
Bahrain,BHR,1997,2.9000000954
Bahrain,BHR,2003,2.7999999523
Bahrain,BHR,2005,2.8
Bahrain,BHR,2006,2.74
Bahrain,BHR,2007,1.97
Bahrain,BHR,2008,1.9
Bahrain,BHR,2009,1.8
Bahrain,BHR,2012,2.1
Bangladesh,BGD,1970,0.155100002884865
Bangladesh,BGD,1980,0.215800002217293
Bangladesh,BGD,1981,0.225199997425079
Bangladesh,BGD,1985,0.287800014019012
Bangladesh,BGD,1990,0.3041999936
Bangladesh,BGD,1991,0.3080999851
Bangladesh,BGD,1994,0.3048999906
Bangladesh,BGD,1999,0.3000000119
Bangladesh,BGD,2001,0.3
Bangladesh,BGD,2002,0.34
Bangladesh,BGD,2005,0.3
Bangladesh,BGD,2011,0.6
Barbados,BRB,1960,5.92977905273438
Barbados,BRB,1970,10.2215995788574
Barbados,BRB,1980,8.53470039367676
Barbados,BRB,1990,8.3999996185
Barbados,BRB,1993,1.2676000595
Barbados,BRB,1995,7.4
Barbados,BRB,1996,7.5599999428
Barbados,BRB,2003,7.3
Barbados,BRB,2004,7.3
Barbados,BRB,2005,6.7
Barbados,BRB,2006,6.6
Barbados,BRB,2008,7.6
Barbados,BRB,2009,6.8
Barbados,BRB,2010,6.6
Barbados,BRB,2012,6.2
Belarus,BLR,1980,12.5460996627808
Belarus,BLR,1985,13.0712995529175
Belarus,BLR,1986,13.2604999542236
Belarus,BLR,1987,13.4562997817993
Belarus,BLR,1988,13.3729000091553
Belarus,BLR,1989,13.5795001983643
Belarus,BLR,1990,13.2264003754
Belarus,BLR,1991,13.20470047
Belarus,BLR,1992,12.6906995773
Belarus,BLR,1993,12.4762001038
Belarus,BLR,1994,12.4638996124
Belarus,BLR,1995,12.3800001144
Belarus,BLR,1996,12.2700004578
Belarus,BLR,1997,12.3599996567
Belarus,BLR,1998,12.4200000763
Belarus,BLR,1999,12.6400003433
Belarus,BLR,2000,12.6099996567
Belarus,BLR,2001,12.5799999237
Belarus,BLR,2003,11.3000001907
Belarus,BLR,2005,11.1
Belarus,BLR,2006,11.2
Belarus,BLR,2007,11.2
Belarus,BLR,2009,11.1
Belarus,BLR,2011,11.3
Belgium,BEL,1970,8.30000019073486
Belgium,BEL,1980,9.39999961853027
Belgium,BEL,1985,9.10000038146973
Belgium,BEL,1990,8
Belgium,BEL,1991,7.9000000954
Belgium,BEL,1992,7.6999998093
Belgium,BEL,1993,7.6999998093
Belgium,BEL,1994,7.5999999046
Belgium,BEL,1997,7.1999998093
Belgium,BEL,1998,7.1999998093
Belgium,BEL,1999,7.0999999046
Belgium,BEL,2000,7.0999999046
Belgium,BEL,2001,6.9000000954
Belgium,BEL,2002,6.9000000954
Belgium,BEL,2005,5.3
Belgium,BEL,2006,5.3
Belgium,BEL,2007,5.3
Belgium,BEL,2009,6.6
Belgium,BEL,2010,6.5
Belgium,BEL,2011,6.53
Belgium,BEL,2012,6.5
Belize,BLZ,1960,4.66776514053345
Belize,BLZ,1970,5.40140008926392
Belize,BLZ,1986,3.31680011749268
Belize,BLZ,1990,2.7000000477
Belize,BLZ,1993,2.7999999523
Belize,BLZ,1995,2.5
Belize,BLZ,1996,2.1300001144
Belize,BLZ,2000,1.9
Belize,BLZ,2003,1.2999999523
Belize,BLZ,2004,1.3
Belize,BLZ,2005,1.2
Belize,BLZ,2006,1.3
Belize,BLZ,2007,1.2
Belize,BLZ,2008,1.2
Belize,BLZ,2009,1.1
Belize,BLZ,2010,1.2
Belize,BLZ,2011,1.1
Belize,BLZ,2012,1.1
Benin,BEN,1960,1.22574877738953
Benin,BEN,1970,1.15489995479584
Benin,BEN,1980,1.46490001678467
Benin,BEN,1981,1.13119995594025
Benin,BEN,1985,0.359600007534027
Benin,BEN,1990,0.8338999748
Benin,BEN,1991,0.5005000234
Benin,BEN,1992,0.2231000066
Benin,BEN,1993,0.2390999943
Benin,BEN,1994,0.2336000055
Benin,BEN,2005,0.5
Benin,BEN,2010,0.5
Bermuda,BMU,1996,6.3000001907
Bhutan,BTN,1986,1.70589995384216
Bhutan,BTN,1990,0.8467000127
Bhutan,BTN,1994,1.6147999763
Bhutan,BTN,1999,1.6000000238
Bhutan,BTN,2001,1.6
Bhutan,BTN,2002,1.6
Bhutan,BTN,2006,1.7
Bhutan,BTN,2011,1.8
Bhutan,BTN,2012,1.8
Bolivia,BOL,1960,1.84541928768158
Bolivia,BOL,1970,2.32170009613037
Bolivia,BOL,1975,2.05879998207092
Bolivia,BOL,1990,1.317800045
Bolivia,BOL,1991,1.4110000134
Bolivia,BOL,1993,1.3999999762
Bolivia,BOL,1996,1.6699999571
Bolivia,BOL,2003,1
Bolivia,BOL,2004,1
Bolivia,BOL,2006,1.1
Bolivia,BOL,2007,1.1
Bolivia,BOL,2008,1.1
Bolivia,BOL,2009,1.1
Bolivia,BOL,2011,1.1
Bolivia,BOL,2012,1.1
Bosnia and Herzegovina,BIH,1980,4.83109998703003
Bosnia and Herzegovina,BIH,1981,4.92280006408691
Bosnia and Herzegovina,BIH,1982,4.91790008544922
Bosnia and Herzegovina,BIH,1983,4.90469980239868
Bosnia and Herzegovina,BIH,1984,4.8137001991272
Bosnia and Herzegovina,BIH,1985,4.71810007095337
Bosnia and Herzegovina,BIH,1986,4.74200010299683
Bosnia and Herzegovina,BIH,1987,4.5935001373291
Bosnia and Herzegovina,BIH,1988,4.57819986343384
Bosnia and Herzegovina,BIH,1989,4.49830007553101
Bosnia and Herzegovina,BIH,1990,4.4590997696
Bosnia and Herzegovina,BIH,1991,4.3779997826
Bosnia and Herzegovina,BIH,1998,3.8199999332
Bosnia and Herzegovina,BIH,1999,3.7999999523
Bosnia and Herzegovina,BIH,2000,3.2400000095
Bosnia and Herzegovina,BIH,2001,3.2200000286
Bosnia and Herzegovina,BIH,2003,3.0999999046
Bosnia and Herzegovina,BIH,2005,3
Bosnia and Herzegovina,BIH,2009,3.4
Bosnia and Herzegovina,BIH,2010,3.5
Botswana,BWA,1960,2.12291669845581
Botswana,BWA,1980,2.36310005187988
Botswana,BWA,1990,1.5751999617
Botswana,BWA,2003,2.2
Botswana,BWA,2007,2.4
Botswana,BWA,2008,1.8
Botswana,BWA,2010,1.8
Brazil,BRA,1960,3.20179533958435
Brazil,BRA,1970,3.69180011749268
Brazil,BRA,1975,4.9951000213623
Brazil,BRA,1987,3.56030011177063
Brazil,BRA,1990,3.3452999592
Brazil,BRA,1993,3.5
Brazil,BRA,1996,3.1099998951
Brazil,BRA,2002,2.6
Brazil,BRA,2005,2.4
Brazil,BRA,2009,2.4
Brazil,BRA,2010,2.4
Brazil,BRA,2011,2.3
Brazil,BRA,2012,2.3
Brunei,BRN,1960,4.90243911743164
Brunei,BRN,1970,3.50769996643066
Brunei,BRN,1981,2.93589997291565
Brunei,BRN,1982,2.99399995803833
Brunei,BRN,2000,2.5999999046
Brunei,BRN,2002,2.7
Brunei,BRN,2004,2.6
Brunei,BRN,2005,3
Brunei,BRN,2006,2.79
Brunei,BRN,2008,2.7
Brunei,BRN,2009,2.6
Brunei,BRN,2011,2.79
Brunei,BRN,2012,2.8
Bulgaria,BGR,1960,6.21367740631104
Bulgaria,BGR,1980,8.85060024261475
Bulgaria,BGR,1981,8.85900020599365
Bulgaria,BGR,1982,8.88669967651367
Bulgaria,BGR,1983,8.87679958343506
Bulgaria,BGR,1984,8.96300029754639
Bulgaria,BGR,1985,9.11400032043457
Bulgaria,BGR,1986,9.45209980010986
Bulgaria,BGR,1987,9.56420040130615
Bulgaria,BGR,1988,9.56019973754883
Bulgaria,BGR,1989,9.70209980010986
Bulgaria,BGR,1990,9.7908000946
Bulgaria,BGR,1991,9.7681999207
Bulgaria,BGR,1992,10.2063999176
Bulgaria,BGR,1993,10.4941997528
Bulgaria,BGR,1994,10.196100235
Bulgaria,BGR,1995,10.3699998856
Bulgaria,BGR,1996,10.470000267
Bulgaria,BGR,1997,10.279999733
Bulgaria,BGR,1998,8.4099998474
Bulgaria,BGR,1999,7.4899997711
Bulgaria,BGR,2000,7.4099998474
Bulgaria,BGR,2001,7.1999998093
Bulgaria,BGR,2003,6.3000001907
Bulgaria,BGR,2005,6.4
Bulgaria,BGR,2006,6.2
Bulgaria,BGR,2007,6.4011
Bulgaria,BGR,2008,6.5
Bulgaria,BGR,2009,6.6
Bulgaria,BGR,2010,6.5
Bulgaria,BGR,2011,6.4
Burkina Faso,BFA,1960,0.523758113384247
Burkina Faso,BFA,1970,0.57150000333786
Burkina Faso,BFA,1989,0.306400001049042
Burkina Faso,BFA,1990,0.2992999852
Burkina Faso,BFA,1995,1.2999999523
Burkina Faso,BFA,1996,1.4199999571
Burkina Faso,BFA,2006,0.9
Burkina Faso,BFA,2010,0.4
Burundi,BDI,1960,1.12240731716156
Burundi,BDI,1970,1.28059995174408
Burundi,BDI,1975,1.12320005893707
Burundi,BDI,1986,0.679199993610382
Burundi,BDI,1991,0.6631000042
Burundi,BDI,2006,0.7
Burundi,BDI,2011,1.9
Cambodia,KHM,1960,0.746548891067505
Cambodia,KHM,1970,1.0809999704361
Cambodia,KHM,1988,2.09870004653931
Cambodia,KHM,1990,2.0720999241
Cambodia,KHM,2001,0.6
Cambodia,KHM,2004,0.1
Cambodia,KHM,2010,0.84
Cambodia,KHM,2011,0.7
Cameroon,CMR,1960,2.00226593017578
Cameroon,CMR,1970,1.75150001049042
Cameroon,CMR,1975,2.46589994430542
Cameroon,CMR,1989,2.59829998016357
Cameroon,CMR,1990,2.5532999039
Cameroon,CMR,2006,1.5
Cameroon,CMR,2010,1.3
Canada,CAN,1960,6.19999980926514
Canada,CAN,1970,7
Canada,CAN,1976,6.90000009536743
Canada,CAN,1977,6.90000009536743
Canada,CAN,1978,6.90000009536743
Canada,CAN,1979,6.80000019073486
Canada,CAN,1980,6.80000019073486
Canada,CAN,1981,6.90000009536743
Canada,CAN,1982,6.80000019073486
Canada,CAN,1983,6.80000019073486
Canada,CAN,1984,6.80000019073486
Canada,CAN,1985,6.80000019073486
Canada,CAN,1986,6.69999980926514
Canada,CAN,1987,6.59999990463257
Canada,CAN,1988,6.5
Canada,CAN,1989,6.30000019073486
Canada,CAN,1990,6
Canada,CAN,1991,5.8000001907
Canada,CAN,1992,5.5
Canada,CAN,1993,5.4000000954
Canada,CAN,1995,5
Canada,CAN,1996,4.5999999046
Canada,CAN,1997,4.4000000954
Canada,CAN,1998,4.1999998093
Canada,CAN,1999,3.9000000954
Canada,CAN,2000,3.4
Canada,CAN,2001,3.7000000477
Canada,CAN,2002,3.7000000477
Canada,CAN,2003,3.6
Canada,CAN,2005,3.4
Canada,CAN,2006,3.4
Canada,CAN,2008,3.4
Canada,CAN,2009,3.2
Canada,CAN,2010,2.7
Cape Verde,CPV,1970,1.40820002555847
Cape Verde,CPV,1980,2.1868999004364
Cape Verde,CPV,1988,1.59769999980927
Cape Verde,CPV,1992,1.5830999613
Cape Verde,CPV,2005,2.1
Cape Verde,CPV,2008,2.1
Cape Verde,CPV,2010,2.1
Caribbean small states,,1960,5.05578941628052
Caribbean small states,,1970,4.99731945632369
Caribbean small states,,1975,4.99041722796149
Caribbean small states,,1990,3.62224627278907
Caribbean small states,,1993,2.82338792122217
Caribbean small states,,1995,3.09075887657284
Caribbean small states,,1996,3.47898470437534
Caribbean small states,,2001,2.49411232145147
Caribbean small states,,2003,2.52951529194317
Caribbean small states,,2005,2.44124909816529
Caribbean small states,,2006,2.55481560021345
Caribbean small states,,2007,2.18217241905645
Caribbean small states,,2009,2.29504772936867
Caribbean small states,,2010,2.37122527571258
Caribbean small states,,2012,2.3151498061401
Cayman Islands,CYM,1990,3
Central African Republic,CAF,1960,1.23142111301422
Central African Republic,CAF,1970,1.87559998035431
Central African Republic,CAF,1980,1.55859994888306
Central African Republic,CAF,1990,0.8731999993
Central African Republic,CAF,2006,1.2
Central African Republic,CAF,2011,1
Central Europe and the Baltics,,1980,8.03063869098737
Central Europe and the Baltics,,1985,8.20066635452036
Central Europe and the Baltics,,1990,8.11982104585099
Central Europe and the Baltics,,1991,8.04154988044619
Central Europe and the Baltics,,1992,7.67383866026246
Central Europe and the Baltics,,1993,7.64226294056742
Central Europe and the Baltics,,1994,7.63070326068629
Central Europe and the Baltics,,1995,7.23791499950986
Central Europe and the Baltics,,1996,7.26893205390487
Central Europe and the Baltics,,1997,7.02268660338909
Central Europe and the Baltics,,1998,6.79756092937524
Central Europe and the Baltics,,1999,6.6162430358104
Central Europe and the Baltics,,2000,6.76517729309132
Central Europe and the Baltics,,2005,6.38153973739358
Central Europe and the Baltics,,2006,6.32660067397459
Central Europe and the Baltics,,2008,6.66530832092615
Central Europe and the Baltics,,2009,6.62590830374472
Central Europe and the Baltics,,2010,6.49792074166119
Central Europe and the Baltics,,2011,6.41547778401371
Chad,TCD,1960,0.697454333305359
Chad,TCD,1970,1.30999994277954
Chad,TCD,1991,0.7200999856
Chad,TCD,2005,0.4
Channel Islands,OWID_CIS,1960,11.1538457870483
Channel Islands,OWID_CIS,1970,11.2250003814697
Channel Islands,OWID_CIS,1980,10.6512002944946
Channel Islands,OWID_CIS,1981,10.595100402832
Chile,CHL,1960,3.6742901802063
Chile,CHL,1970,3.77640008926392
Chile,CHL,1980,3.40639996528625
Chile,CHL,1989,3.17670011520386
Chile,CHL,1990,3.1586000919
Chile,CHL,1993,3.0999999046
Chile,CHL,1996,2.6700000763
Chile,CHL,2002,2.5999999046
Chile,CHL,2004,2.4
Chile,CHL,2005,2.3
Chile,CHL,2006,2.3
Chile,CHL,2009,2.1
Chile,CHL,2010,2.1
Chile,CHL,2011,2.1
China,CHN,1965,1.44000005722046
China,CHN,1966,1.51999998092651
China,CHN,1967,1.5
China,CHN,1968,1.45000004768372
China,CHN,1969,1.45000004768372
China,CHN,1970,1.53999996185303
China,CHN,1971,1.58000004291534
China,CHN,1972,1.71000003814697
China,CHN,1973,1.76999998092651
China,CHN,1974,1.85000002384186
China,CHN,1975,1.91999995708466
China,CHN,1976,2
China,CHN,1977,2.0699999332428
China,CHN,1978,2.14000010490417
China,CHN,1979,2.20000004768372
China,CHN,1980,2.23000001907349
China,CHN,1981,2.25
China,CHN,1982,2.25999999046326
China,CHN,1983,2.28999996185303
China,CHN,1984,2.32999992370605
China,CHN,1985,2.36999988555908
China,CHN,1986,2.40000009536743
China,CHN,1987,2.48000001907349
China,CHN,1988,2.53999996185303
China,CHN,1989,2.55999994277954
China,CHN,1990,2.5799999237
China,CHN,1991,2.5999999046
China,CHN,1992,2.6199998856
China,CHN,1993,2.6300001144
China,CHN,1994,2.6300001144
China,CHN,1995,2.6099998951
China,CHN,1996,2.5499999523
China,CHN,1997,2.5499999523
China,CHN,1998,2.5299999714
China,CHN,1999,2.5199999809
China,CHN,2000,2.5199999809
China,CHN,2001,2.5199999809
China,CHN,2002,2.4500000477
China,CHN,2003,2.2
China,CHN,2004,3
China,CHN,2005,2.45
China,CHN,2006,2.23
China,CHN,2009,4.2
China,CHN,2010,3.56
China,CHN,2011,3.8
Colombia,COL,1960,2.57554721832275
Colombia,COL,1970,2.09730005264282
Colombia,COL,1980,1.56410002708435
Colombia,COL,1989,1.25109994411469
Colombia,COL,1990,1.3667000532
Colombia,COL,1993,1.2999999523
Colombia,COL,1996,1.4600000381
Colombia,COL,2003,1.1000000238
Colombia,COL,2004,1.2
Colombia,COL,2006,1
Colombia,COL,2007,1
Colombia,COL,2011,1.4
Colombia,COL,2012,1.5
Comoros,COM,1989,3.12490010261536
Comoros,COM,1990,2.7616000175
Comoros,COM,2006,2.2
Congo,COG,1960,3.75708508491516
Congo,COG,1970,4.38719987869263
Congo,COG,1990,3.3499999046
Congo,COG,2005,1.6
Costa Rica,CRI,1960,4.7907772064209
Costa Rica,CRI,1970,3.93959999084473
Costa Rica,CRI,1980,3.31439995765686
Costa Rica,CRI,1990,2.5
Costa Rica,CRI,1994,1.793900013
Costa Rica,CRI,1995,1.7799999714
Costa Rica,CRI,1996,1.75
Costa Rica,CRI,1997,1.7100000381
Costa Rica,CRI,1998,1.6799999475
Costa Rica,CRI,2003,1.3999999762
Costa Rica,CRI,2004,1.4
Costa Rica,CRI,2006,1.3
Costa Rica,CRI,2007,1.3
Costa Rica,CRI,2008,1.2
Costa Rica,CRI,2010,1.2
Costa Rica,CRI,2011,1.2
Costa Rica,CRI,2012,1.2
Cote d'Ivoire,CIV,1960,1.34876954555511
Cote d'Ivoire,CIV,1970,1.15610003471375
Cote d'Ivoire,CIV,1989,0.828499972820282
Cote d'Ivoire,CIV,1990,0.8116000295
Cote d'Ivoire,CIV,2006,0.4
Croatia,HRV,1980,7.23479986190796
Croatia,HRV,1981,7.30810022354126
Croatia,HRV,1982,7.42350006103516
Croatia,HRV,1983,7.46519994735718
Croatia,HRV,1984,7.44659996032715
Croatia,HRV,1985,7.45429992675781
Croatia,HRV,1986,7.40259981155396
Croatia,HRV,1987,7.4225001335144
Croatia,HRV,1988,7.44169998168945
Croatia,HRV,1989,7.39300012588501
Croatia,HRV,1990,7.3777999878
Croatia,HRV,1991,6.5201001167
Croatia,HRV,1992,6.210100174
Croatia,HRV,1993,6.071199894
Croatia,HRV,1994,5.9095001221
Croatia,HRV,1995,5.75
Croatia,HRV,1996,6.1900000572
Croatia,HRV,1997,6.0100002289
Croatia,HRV,1998,6.0599999428
Croatia,HRV,1999,5.9299998283
Croatia,HRV,2000,6.1500000954
Croatia,HRV,2001,6
Croatia,HRV,2002,5.7
Croatia,HRV,2003,5.5999999046
Croatia,HRV,2004,5.5
Croatia,HRV,2005,5.5
Croatia,HRV,2006,5.5
Croatia,HRV,2007,5.5
Croatia,HRV,2009,5.4
Croatia,HRV,2010,5.62
Croatia,HRV,2011,5.98
Croatia,HRV,2012,5.89
Croatia,HRV,2013,5.86
Croatia,HRV,2014,5.89
Cuba,CUB,1960,4.36649942398071
Cuba,CUB,1970,4.63240003585815
Cuba,CUB,1990,5.4211997986
Cuba,CUB,1993,6
Cuba,CUB,1996,5.1300001144
Cuba,CUB,2003,4.9000000954
Cuba,CUB,2005,4.9
Cuba,CUB,2006,4.9
Cuba,CUB,2007,4.9
Cuba,CUB,2008,6
Cuba,CUB,2009,5.9
Cuba,CUB,2010,5.9
Cuba,CUB,2011,5.1
Cuba,CUB,2012,5.3
Cyprus,CYP,1960,4.52356004714966
Cyprus,CYP,1970,5.38210010528564
Cyprus,CYP,1980,5.65299987792969
Cyprus,CYP,1981,5.72009992599487
